species,family,order,mass_g,wing_length_mm,beak_length_culmen_mm,beak_length_nares_mm,beak_width_mm,beak_depth_mm,tarsus_length_mm,tail_length_mm,kipps_distance_mm,hand_wing_index,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size_km2,centroid_latitude,centroid_longitude
Accipiter albogularis,Accipitridae,Accipitriformes,248.8,235.2,27.7,17.8,10.6,14.7,62.0,169.0,81.8,33.9,Forest,1,2,Carnivore,Vertivore,Insessorial,37461.21,-8.15,158.49
Accipiter badius,Accipitridae,Accipitriformes,131.2,186.7,20.6,12.1,8.8,11.6,43.0,140.6,62.5,32.9,Shrubland,2,3,Carnivore,Vertivore,Insessorial,22374973.0,8.23,44.98
Accipiter bicolor,Accipitridae,Accipitriformes,287.5,229.6,25.0,13.7,8.6,12.7,58.1,186.3,56.6,24.6,Woodland,2,2,Carnivore,Vertivore,Generalist,14309701.27,-10.1,-59.96
Accipiter brachyurus,Accipitridae,Accipitriformes,142.0,202.2,22.5,14.0,8.9,11.9,61.2,140.8,64.1,31.7,Forest,1,2,Carnivore,Vertivore,Insessorial,35580.71,-5.45,150.68
Accipiter brevipes,Accipitridae,Accipitriformes,186.5,217.6,21.1,12.1,8.7,11.1,46.4,153.5,87.8,40.2,Forest,1,3,Carnivore,Vertivore,Generalist,2936751.8,45.24,45.33
Accipiter butleri,Accipitridae,Accipitriformes,122.0,166.0,20.0,11.9,6.6,12.0,48.7,127.0,42.9,25.8,Forest,1,1,Carnivore,Vertivore,Insessorial,327.84,8.42,93.17
Accipiter castanilius,Accipitridae,Accipitriformes,157.5,163.5,20.5,11.5,8.3,10.9,52.6,135.4,38.9,24.0,Forest,1,2,Carnivore,Vertivore,Insessorial,2096401.63,0.71,18.29
Accipiter cirrocephalus,Accipitridae,Accipitriformes,165.7,213.0,19.2,10.6,7.7,9.6,60.3,155.4,81.3,37.8,Forest,1,2,Carnivore,Vertivore,Generalist,5488639.45,-23.36,137.81
Accipiter collaris,Accipitridae,Accipitriformes,97.8,165.9,20.0,11.2,8.6,11.0,43.6,125.0,49.5,30.0,Forest,1,2,Carnivore,Vertivore,Insessorial,253265.36,2.47,-75.57
Accipiter cooperii,Accipitridae,Accipitriformes,429.7,241.2,25.4,13.9,8.6,13.2,62.0,188.4,77.8,32.3,Woodland,2,3,Carnivore,Vertivore,Aerial,8393137.06,41.25,-100.49
Accipiter erythrauchen,Accipitridae,Accipitriformes,156.0,191.2,21.1,12.2,8.6,11.2,59.5,154.8,58.9,30.8,Forest,1,1,Carnivore,Vertivore,Generalist,48150.32,-1.32,128.19
Accipiter erythropus,Accipitridae,Accipitriformes,111.2,154.6,17.6,9.7,7.2,9.6,43.0,104.4,40.9,27.1,Forest,1,1,Carnivore,Vertivore,Insessorial,3904812.09,3.48,10.44
Accipiter fasciatus,Accipitridae,Accipitriformes,358.7,269.9,28.5,19.1,11.2,15.2,71.9,206.0,103.6,38.3,Forest,1,1,Carnivore,Vertivore,Generalist,8180196.71,-24.45,134.95
