generation,allele_count,n_pops
0,16,107
1,7,1
1,11,2
1,12,5
1,13,8
1,14,10
1,15,13
1,16,22
1,17,9
1,18,14
1,19,14
1,20,7
1,21,1
1,22,1
2,2,1
2,6,2
2,7,3
2,8,1
2,9,1
2,10,4
2,11,8
2,12,7
2,13,7
2,14,2
2,15,15
2,16,9
2,17,8
2,18,13
2,19,7
2,20,5
2,21,3
2,22,1
2,23,2
2,24,4
2,25,1
2,27,2
2,29,1
3,3,2
3,5,1
3,6,1
3,7,2
3,8,3
3,9,5
3,10,3
3,11,4
3,12,9
3,13,8
3,14,8
3,15,9
3,16,8
3,17,6
3,18,7
3,19,4
3,20,7
3,21,2
3,22,5
3,23,2
3,24,2
3,25,2
3,26,2
3,27,3
3,30,1
3,31,1
4,3,2
4,5,2
4,6,1
4,7,5
4,8,4
4,9,6
4,10,8
4,11,6
4,12,6
4,13,2
4,14,5
4,15,8
4,16,9
4,17,3
4,18,3
4,19,7
4,20,4
4,21,3
4,22,3
4,23,6
4,24,4
4,25,2
4,26,2
4,27,2
4,29,1
4,30,2
4,32,1
5,2,1
5,3,1
5,4,2
5,5,3
5,6,5
5,7,3
5,8,6
5,9,5
5,10,1
5,11,6
5,12,4
5,13,5
5,14,4
5,15,4
5,16,5
5,17,10
5,18,7
5,19,5
5,20,3
5,21,4
5,22,3
5,23,2
5,24,1
5,25,4
5,26,5
5,27,3
5,28,1
5,30,2
5,32,2
6,0,1
6,1,1
6,2,2
6,3,1
6,4,2
6,5,2
6,6,3
6,7,6
6,8,2
6,9,10
6,10,7
6,11,2
6,12,4
6,13,4
6,14,7
6,15,4
6,16,9
6,17,4
6,18,2
6,19,1
6,20,4
6,21,6
6,22,7
6,24,4
6,26,3
6,27,3
6,28,2
6,30,1
6,32,3
7,0,3
7,1,2
7,2,1
7,5,1
7,6,5
7,7,5
7,8,7
7,9,5
7,10,2
7,11,4
7,12,3
7,13,5
7,14,12
7,15,5
7,16,5
7,17,5
7,18,4
7,19,5
7,20,1
7,21,1
7,22,3
7,23,1
7,24,2
7,25,5
7,26,1
7,27,2
7,28,7
7,29,1
7,30,1
7,32,3
8,0,5
8,2,1
8,3,1
8,4,2
8,5,3
8,6,4
8,7,4
8,8,2
8,9,10
8,10,3
8,11,4
8,12,3
8,13,4
8,14,5
8,15,8
8,16,6
8,17,6
8,18,3
8,19,2
8,20,2
8,21,5
8,22,3
8,23,1
8,24,3
8,25,1
8,28,3
8,29,2
8,30,3
8,31,3
8,32,5
9,0,5
9,1,1
9,2,2
9,3,5
9,4,3
9,5,2
9,6,1
9,7,3
9,8,5
9,9,3
9,10,7
9,11,7
9,12,5
9,13,3
9,14,4
9,15,2
9,16,5
9,17,4
9,18,2
9,19,1
9,20,4
9,21,4
9,22,3
9,23,3
9,24,1
9,25,3
9,26,3
9,27,2
9,28,3
9,29,1
9,30,1
9,31,3
9,32,6
10,0,7
10,1,2
10,2,4
10,3,3
10,4,5
10,6,3
10,7,1
10,8,4
10,9,2
10,10,3
10,11,2
10,12,4
10,13,5
10,14,3
10,15,4
10,16,3
10,17,6
10,18,7
10,19,4
10,20,5
10,21,2
10,22,1
10,23,5
10,24,1
10,25,2
10,26,2
10,27,1
10,28,2
10,29,2
10,30,2
10,31,2
10,32,8
11,0,11
11,1,1
11,2,1
11,3,3
11,4,6
11,5,3
11,6,5
11,7,2
11,8,1
11,9,2
11,10,1
11,11,3
11,12,2
11,13,2
11,14,3
11,15,5
11,16,4
11,17,2
11,18,3
11,19,5
11,20,3
11,21,4
11,22,5
11,23,5
11,24,2
11,25,2
11,27,2
11,28,2
11,29,2
11,30,2
11,31,3
11,32,10
12,0,12
12,1,1
12,3,4
12,4,6
12,5,2
12,6,2
12,7,4
12,8,2
12,9,2
12,10,1
12,11,3
12,13,6
12,14,3
12,15,5
12,16,1
12,17,4
12,18,4
12,19,2
12,20,4
12,21,5
12,22,3
12,23,2
12,24,4
12,25,3
12,27,1
12,28,2
12,29,1
12,31,1
12,32,17
13,0,12
13,1,4
13,2,3
13,3,3
13,4,4
13,6,3
13,7,3
13,8,2
13,9,4
13,10,1
13,11,3
13,12,3
13,14,2
13,15,1
13,16,7
13,17,5
13,18,4
13,19,3
13,20,4
13,21,2
13,22,1
13,23,2
13,24,1
13,25,2
13,26,2
13,27,2
13,28,2
13,29,1
13,30,2
13,31,1
13,32,18
14,0,15
14,1,6
14,2,1
14,3,5
14,4,2
14,6,3
14,7,1
14,8,2
14,9,2
14,10,4
14,11,1
14,12,3
14,13,3
14,14,3
14,15,1
14,16,6
14,17,3
14,18,5
14,19,2
14,20,2
14,23,1
14,24,2
14,25,2
14,26,3
14,27,2
14,28,1
14,29,2
14,30,3
14,32,21
15,0,18
15,1,4
15,2,4
15,3,2
15,4,3
15,5,3
15,8,1
15,9,1
15,10,5
15,11,2
15,12,5
15,13,3
15,14,1
15,15,4
15,16,4
15,17,1
15,18,1
15,20,2
15,21,2
15,23,1
15,24,2
15,25,1
15,26,6
15,28,2
15,29,2
15,30,1
15,31,3
15,32,23
16,0,23
16,2,2
16,3,4
16,4,1
16,5,3
16,6,2
16,7,1
16,8,1
16,9,2
16,10,1
16,11,2
16,12,2
16,13,7
16,14,1
