generation,n_pops,mean_p,var_p,n_lost,n_fixed
0,107,0.5,0.0,0,0
1,107,0.5064,0.00641,0,0
2,107,0.4936,0.02257,0,0
3,107,0.495,0.03136,0,0
4,107,0.4904,0.04147,0,1
5,107,0.4939,0.05007,0,2
6,107,0.469,0.05494,1,3
7,107,0.4816,0.06167,3,3
8,107,0.4801,0.07233,5,5
9,107,0.4758,0.08301,5,6
10,107,0.4839,0.09016,7,8
11,107,0.4924,0.10488,11,10
12,107,0.4988,0.11146,12,17
13,107,0.4953,0.12273,12,18
14,107,0.4933,0.13615,15,21
15,107,0.5003,0.14937,18,23
16,107,0.5053,0.15545,23,25
17,107,0.4904,0.15967,26,26
18,107,0.481,0.16474,27,28
19,107,0.4717,0.16999,30,28
