site_id,location,rate_cm_per_kyr,water_depth_m,note
S01,N Atlantic pelagic,0.20,3800,"low-productivity open ocean"
S02,N Atlantic margin,0.40,1400,"slope; moderate productivity"
S03,Indian Ocean basin,0.15,4200,"abyssal carbonate"
S04,Equatorial Pacific,0.50,3500,"high productivity upwelling"
S05,Pacific gyre,0.30,4400,"oligotrophic gyre"
S06,South Atlantic basin,0.25,4000,"open ocean"
S07,Caribbean shelf,0.60,800,"shelf carbonate"
S08,N Atlantic shelf,0.35,200,"chalk-equivalent shelf setting"
S09,Mediterranean abyssal,0.15,2800,"low input"
S10,Tasman Sea,0.45,2200,"temperate margin"
S11,Sea of Japan,0.40,1900,"semi-enclosed basin"
S12,W African margin,0.25,2500,"upwelling-influenced margin"
