year,species,beak_length,beak_depth,beak_width
1973,fortis,10.76,9.48,8.69
1973,scandens,14.55,9.28,8.57
1974,fortis,10.72,9.42,8.66
1974,scandens,14.57,9.21,8.58
1975,fortis,10.57,9.19,8.55
1975,scandens,14.14,8.94,8.37
1976,fortis,10.64,9.23,8.58
1976,scandens,14.41,9.06,8.52
1977,fortis,10.73,9.35,8.63
1977,scandens,14.55,9.14,8.6
1978,fortis,11.04,9.74,8.86
1978,scandens,14.52,9.35,8.7
1979,fortis,11.07,9.78,8.73
1979,scandens,14.48,9.26,8.62
1980,fortis,11.11,9.81,8.9
1980,scandens,14.61,9.31,8.68
1981,fortis,11.04,9.75,8.89
1981,scandens,14.44,9.23,8.63
1982,fortis,11.06,9.8,8.91
1982,scandens,14.45,9.25,8.64
1983,fortis,11.03,9.71,8.92
1983,scandens,14.36,9.16,8.63
1984,fortis,10.93,9.66,8.93
1984,scandens,14.25,9.1,8.6
1985,fortis,10.91,9.62,8.91
1985,scandens,14.23,9.07,8.6
1986,fortis,10.91,9.48,8.75
1986,scandens,14.4,9.22,8.71
1987,fortis,10.93,9.31,8.69
1987,scandens,14.2,9.14,8.64
1988,fortis,10.93,9.31,8.69
1988,scandens,14.2,9.14,8.64
1989,fortis,10.91,9.28,8.67
1989,scandens,14.27,9.14,8.67
1990,fortis,10.89,9.26,8.65
1990,scandens,14.28,9.14,8.66
1991,fortis,10.83,9.21,8.66
1991,scandens,13.93,9.07,8.64
1992,fortis,10.82,9.19,8.66
1992,scandens,13.75,9.01,8.58
1993,fortis,10.82,9.18,8.67
1993,scandens,13.85,9.09,8.65
1994,fortis,10.84,9.2,8.67
1994,scandens,13.84,9.1,8.65
1995,fortis,10.74,9.1,8.59
1995,scandens,13.87,9.12,8.63
1996,fortis,10.81,9.15,8.64
1996,scandens,13.85,9.15,8.67
1997,fortis,10.77,9.12,8.65
1997,scandens,13.84,9.19,8.71
1998,fortis,10.84,9.11,8.67
1998,scandens,13.68,9.07,8.63
1999,fortis,10.89,9.14,8.71
1999,scandens,13.43,9.02,8.56
2000,fortis,10.92,9.18,8.73
2000,scandens,13.15,9.08,8.55
2001,fortis,10.75,9.02,8.59
2001,scandens,13.31,8.91,8.55
2002,fortis,10.78,9.07,8.6
2002,scandens,13.39,9.01,8.56
2003,fortis,10.85,9.12,8.63
2003,scandens,13.4,9.01,8.54
2004,fortis,10.94,9.19,8.69
2004,scandens,13.51,9.09,8.61
2005,fortis,10.34,8.68,8.33
2005,scandens,13.13,9.02,8.57
2006,fortis,10.31,8.63,8.31
2006,scandens,13.12,9.03,8.59
2007,fortis,10.32,8.62,8.29
2007,scandens,13.22,9.13,8.7
2008,fortis,10.28,8.57,8.29
2008,scandens,13.31,9.08,8.72
2009,fortis,10.28,8.51,8.27
2009,scandens,13.33,9.08,8.73
2010,fortis,10.42,8.52,8.33
2010,scandens,13.3,9.07,8.71
2011,fortis,10.46,8.57,8.34
2011,scandens,13.35,9.1,8.75
2012,fortis,10.51,8.65,8.38
2012,scandens,13.41,9.19,8.82
