year,fortis,scandens
1976,490.0,185.0
1977,210.0,146.0
1978,157.0,132.0
1979,295.0,190.0
1980,280.0,197.0
1981,225.0,180.0
1982,340.0,241.0
1983,279.0,234.0
1984,700.0,476.0
1985,601.0,295.0
1986,285.0,101.0
1987,233.0,83.0
1988,939.0,158.0
1989,621.0,117.0
1990,449.0,97.0
1991,301.0,73.0
1992,750.0,137.0
1993,1718.0,227.0
1994,2531.0,248.0
1995,907.0,154.0
1996,489.0,165.0
1997,202.0,86.0
1998,613.0,145.0
1999,1495.0,226.0
2000,884.0,84.0
2001,665.0,115.0
2002,830.0,169.0
2003,1262.0,307.0
2004,235.0,159.0
2005,71.0,50.0
2006,443.0,170.0
2007,495.0,140.0
2008,521.0,180.0
2009,850.0,400.0
2010,300.0,312.0
2011,580.0,388.0
2012,991.0,573.0
