year,category,n_indiv
1990,founder,211
1990,survivor,0
1990,immigrant,0
1990,nestling,0
1991,founder,0
1991,survivor,118
1991,immigrant,19
1991,nestling,116
1992,founder,0
1992,survivor,107
1992,immigrant,25
1992,nestling,59
1993,founder,0
1993,survivor,106
1993,immigrant,17
1993,nestling,121
1994,founder,0
1994,survivor,157
1994,immigrant,20
1994,nestling,102
1995,founder,0
1995,survivor,135
1995,immigrant,34
1995,nestling,68
1996,founder,0
1996,survivor,170
1996,immigrant,21
1996,nestling,143
1997,founder,0
1997,survivor,218
1997,immigrant,17
1997,nestling,127
1998,founder,0
1998,survivor,153
1998,immigrant,19
1998,nestling,80
1999,founder,0
1999,survivor,166
1999,immigrant,7
1999,nestling,157
2000,founder,0
2000,survivor,180
2000,immigrant,17
2000,nestling,108
2001,founder,0
2001,survivor,173
2001,immigrant,7
2001,nestling,92
2002,founder,0
2002,survivor,145
2002,immigrant,14
2002,nestling,136
2003,founder,0
2003,survivor,162
2003,immigrant,7
2003,nestling,96
2004,founder,0
2004,survivor,165
2004,immigrant,18
2004,nestling,160
2005,founder,0
2005,survivor,195
2005,immigrant,17
2005,nestling,143
2006,founder,0
2006,survivor,216
2006,immigrant,14
2006,nestling,169
2007,founder,0
2007,survivor,241
2007,immigrant,10
2007,nestling,90
2008,founder,0
2008,survivor,186
2008,immigrant,20
2008,nestling,165
2009,founder,0
2009,survivor,194
2009,immigrant,11
2009,nestling,86
2010,founder,0
2010,survivor,160
2010,immigrant,18
2010,nestling,148
2011,founder,0
2011,survivor,190
2011,immigrant,12
2011,nestling,203
2012,founder,0
2012,survivor,193
2012,immigrant,18
2012,nestling,52
2013,founder,0
2013,survivor,171
2013,immigrant,14
2013,nestling,150
