Indiv,NatalYear,CoreNestling,ImmCohort,InclBr
1,NA,N,1994,Y
2,NA,N,2001,Y
3,NA,N,1994,Y
4,NA,N,1998,Y
5,NA,N,NA,Y
6,NA,N,1991,Y
7,NA,N,1992,Y
8,NA,N,1995,Y
9,NA,N,1995,Y
10,NA,N,1995,Y
11,NA,N,1995,Y
12,NA,N,NA,N
13,NA,N,NA,N
14,NA,N,NA,N
15,NA,N,NA,N
16,NA,N,NA,N
17,NA,N,NA,N
18,NA,N,NA,Y
19,NA,N,NA,N
20,NA,N,NA,N
21,NA,N,NA,N
22,NA,N,NA,N
23,NA,N,NA,N
24,NA,N,NA,N
25,NA,N,NA,Y
26,NA,N,NA,N
27,NA,N,NA,N
28,NA,N,1993,N
29,NA,N,1996,Y
30,NA,N,1996,Y
31,NA,N,1998,Y
32,NA,N,1997,Y
33,NA,N,1997,Y
34,NA,N,NA,N
35,NA,N,NA,N
36,NA,N,NA,Y
37,NA,N,NA,N
38,NA,N,NA,N
39,NA,N,NA,N
40,NA,N,NA,N
41,NA,N,NA,N
42,NA,N,NA,N
43,NA,N,NA,N
44,NA,N,NA,N
45,NA,N,NA,N
46,NA,N,NA,N
47,NA,N,NA,Y
48,NA,N,NA,Y
49,NA,N,NA,Y
50,NA,N,NA,Y
51,NA,N,NA,Y
52,NA,N,NA,Y
53,NA,N,NA,Y
54,NA,N,NA,Y
55,NA,N,NA,Y
56,NA,N,NA,Y
57,NA,N,NA,Y
58,1990,N,NA,N
59,1990,N,NA,N
60,1990,N,NA,N
61,1990,N,NA,N
62,1990,Y,NA,N
63,1990,Y,NA,N
64,1990,Y,NA,N
65,1990,Y,NA,N
66,1990,Y,NA,N
67,NA,N,2001,Y
68,NA,N,2000,Y
69,NA,N,2000,Y
70,NA,N,2000,Y
71,NA,N,2000,Y
72,NA,N,NA,Y
73,NA,N,1999,N
74,NA,N,1999,N
75,NA,N,NA,Y
76,NA,N,2000,N
77,2002,Y,NA,N
78,2002,Y,NA,N
79,2002,Y,NA,N
80,NA,N,2000,Y
81,NA,N,1997,Y
82,NA,N,2000,Y
83,NA,N,2001,Y
84,NA,N,2000,N
85,NA,N,NA,Y
86,NA,N,2000,Y
87,NA,N,2001,Y
88,NA,N,NA,Y
89,NA,N,2002,N
90,NA,N,2001,Y
91,NA,N,1999,Y
92,NA,N,1998,Y
93,NA,N,1998,Y
94,NA,N,2000,Y
95,NA,N,1999,Y
96,NA,N,2000,Y
97,NA,N,2000,Y
98,NA,N,1999,N
99,NA,N,2000,Y
100,NA,N,2000,Y
101,NA,N,2001,Y
102,NA,N,1996,Y
103,NA,N,2000,Y
104,NA,N,2000,Y
105,NA,N,2000,Y
106,NA,N,2000,Y
107,NA,N,2001,Y
108,NA,N,2000,Y
109,2002,N,NA,N
110,2002,N,NA,N
111,NA,N,1995,Y
112,NA,N,1996,Y
113,NA,N,1997,Y
114,NA,N,1997,Y
115,NA,N,1996,Y
116,NA,N,1997,Y
117,NA,N,1997,Y
118,NA,N,1997,Y
119,NA,N,1996,Y
120,NA,N,1997,Y
121,NA,N,1997,Y
122,NA,N,1996,Y
123,NA,N,1996,Y
124,NA,N,1996,Y
125,NA,N,1996,Y
126,NA,N,1997,Y
127,NA,N,1996,Y
128,NA,N,1996,Y
129,NA,N,1995,Y
130,NA,N,1997,Y
131,NA,N,1996,Y
132,NA,N,1996,Y
133,NA,N,1997,Y
134,NA,N,1996,Y
135,NA,N,1996,Y
136,NA,N,1996,Y
137,NA,N,1996,Y
138,NA,N,1997,Y
139,NA,N,1997,Y
140,NA,N,1997,Y
141,NA,N,1997,Y
142,NA,N,NA,N
143,NA,N,NA,N
144,NA,N,NA,N
145,NA,N,NA,N
146,NA,N,NA,N
147,NA,N,NA,N
148,NA,N,NA,N
149,NA,N,NA,N
150,NA,N,NA,N
151,NA,N,NA,N
152,NA,N,NA,N
153,NA,N,NA,Y
154,NA,N,NA,Y
155,NA,N,NA,Y
156,NA,N,1991,Y
157,NA,N,1991,Y
158,NA,N,1991,Y
159,NA,N,NA,Y
160,NA,N,NA,Y
161,NA,N,NA,Y
162,NA,N,NA,Y
163,NA,N,NA,Y
164,NA,N,NA,Y
165,NA,N,NA,Y
166,NA,N,1991,Y
167,1992,Y,NA,N
168,1992,Y,NA,N
169,1992,Y,NA,Y
170,NA,N,NA,Y
171,NA,N,NA,N
172,NA,N,NA,N
173,NA,N,NA,N
174,NA,N,NA,N
175,NA,N,NA,N
176,NA,N,NA,N
177,NA,N,NA,N
178,NA,N,NA,N
179,NA,N,NA,N
180,NA,N,NA,N
181,NA,N,NA,N
182,NA,N,NA,N
183,NA,N,NA,Y
184,NA,N,NA,N
185,NA,N,NA,N
186,NA,N,NA,N
187,NA,N,NA,N
188,NA,N,NA,N
189,NA,N,NA,N
190,NA,N,NA,N
191,NA,N,NA,N
192,NA,N,NA,Y
193,NA,N,NA,N
194,NA,N,NA,Y
195,NA,N,NA,N
196,NA,N,NA,N
197,NA,N,NA,N
198,NA,N,NA,N
199,NA,N,NA,N
200,NA,N,NA,N
201,NA,N,NA,N
202,NA,N,NA,N
203,NA,N,NA,N
204,NA,N,NA,N
205,NA,N,NA,N
206,NA,N,NA,N
207,NA,N,NA,N
208,NA,N,NA,N
209,NA,N,NA,N
210,NA,N,NA,N
211,NA,N,NA,N
212,NA,N,NA,N
213,NA,N,NA,N
214,NA,N,NA,N
215,NA,N,NA,N
216,NA,N,NA,Y
217,NA,N,NA,N
218,NA,N,NA,N
219,NA,N,NA,N
220,NA,N,NA,N
221,NA,N,NA,N
222,NA,N,NA,N
223,1990,N,NA,N
224,1990,N,NA,N
225,1990,N,NA,N
226,1990,N,NA,N
227,1990,N,NA,N
228,1990,N,NA,Y
229,1990,N,NA,Y
230,1990,N,NA,N
231,NA,N,NA,Y
232,1990,N,NA,Y
233,1990,N,NA,N
234,1990,N,NA,N
235,1990,N,NA,N
236,1990,N,NA,N
237,1990,N,NA,N
238,1990,N,NA,N
239,1990,N,NA,N
240,1990,N,NA,N
241,1990,N,NA,N
242,1990,N,NA,N
243,1990,Y,NA,N
244,1990,Y,NA,N
245,1990,Y,NA,N
246,1990,Y,NA,N
247,NA,N,NA,Y
248,1990,N,NA,N
249,1990,N,NA,N
250,1990,N,NA,N
251,1990,N,NA,N
252,1990,N,NA,N
253,NA,N,NA,Y
254,1990,Y,NA,N
255,1990,Y,NA,N
256,1990,Y,NA,N
257,1990,Y,NA,N
258,1990,N,NA,Y
259,NA,N,NA,Y
260,NA,N,NA,Y
261,NA,N,NA,Y
262,1990,N,NA,N
263,1990,N,NA,N
264,1990,N,NA,N
265,1990,N,NA,N
266,1990,Y,NA,N
267,1990,Y,NA,N
268,1990,Y,NA,N
269,NA,N,NA,Y
270,NA,N,NA,Y
271,NA,N,NA,Y
272,1990,Y,NA,Y
273,NA,N,NA,Y
274,NA,N,NA,Y
275,NA,N,NA,Y
276,NA,N,NA,Y
277,NA,N,NA,Y
278,NA,N,NA,Y
279,NA,N,NA,Y
280,NA,N,NA,Y
281,NA,N,NA,Y
282,NA,N,NA,Y
283,1991,Y,NA,N
284,1991,Y,NA,N
285,NA,N,NA,Y
286,1991,Y,NA,N
287,1991,Y,NA,N
288,1991,N,NA,N
289,1991,N,NA,N
290,1991,N,NA,N
291,1991,Y,NA,N
292,1991,Y,NA,N
293,1991,Y,NA,N
294,1991,Y,NA,N
295,NA,N,NA,Y
296,1991,Y,NA,Y
297,1991,Y,NA,N
298,1991,Y,NA,N
299,1991,Y,NA,N
300,1991,Y,NA,N
301,1991,Y,NA,N
302,1991,Y,NA,N
303,1991,Y,NA,Y
304,1991,Y,NA,N
305,1991,Y,NA,N
306,1991,Y,NA,N
307,1991,Y,NA,N
308,1991,Y,NA,Y
309,1991,Y,NA,N
310,1991,Y,NA,N
311,1991,Y,NA,N
312,1991,Y,NA,N
313,1991,Y,NA,N
314,1991,Y,NA,N
315,1991,Y,NA,N
316,1991,Y,NA,N
317,NA,N,NA,Y
318,1991,Y,NA,N
319,1991,Y,NA,N
320,1991,N,NA,N
321,1991,N,NA,N
322,1991,N,NA,N
