individual_id,island,shell_morph,front_opening_cm,note
P01,pinta,saddleback,24.8,"Pinta = sparse vegetation; tall front opening lets neck reach up to cactus pads"
P02,pinta,saddleback,26.1,
P03,pinta,saddleback,23.5,
P04,pinta,saddleback,27.2,
P05,pinta,saddleback,25.0,
P06,pinta,saddleback,22.4,
P07,pinta,saddleback,28.0,
P08,pinta,saddleback,24.3,
P09,pinta,saddleback,26.7,
P10,pinta,saddleback,25.9,
P11,pinta,saddleback,23.1,
P12,pinta,saddleback,27.5,
P13,pinta,saddleback,25.4,
P14,pinta,saddleback,24.0,
P15,pinta,saddleback,26.5,
P16,pinta,saddleback,22.9,
P17,pinta,saddleback,27.8,
P18,pinta,saddleback,25.2,
P19,pinta,saddleback,24.6,
P20,pinta,saddleback,26.0,
I01,isabela,domed,14.2,"Isabela = lush volcanic interior; domed shell, low grazing"
I02,isabela,domed,16.1,
I03,isabela,domed,13.5,
I04,isabela,domed,15.8,
I05,isabela,domed,12.9,
I06,isabela,domed,17.2,
I07,isabela,domed,14.6,
I08,isabela,domed,15.1,
I09,isabela,domed,13.8,
I10,isabela,domed,16.4,
I11,isabela,domed,14.9,
I12,isabela,domed,12.5,
I13,isabela,domed,17.0,
I14,isabela,domed,15.3,
I15,isabela,domed,14.1,
I16,isabela,domed,16.8,
I17,isabela,domed,13.2,
I18,isabela,domed,15.6,
I19,isabela,domed,14.4,
I20,isabela,domed,15.9,
