species,oldest,youngest,body_size,hypsodonty,midpoint_Ma
Parahippus_leonensis,18.7,17.5,75.0,1.08,18.1
Merychippus_gunteri,17.5,12.4,75.0,1.59,14.95
Merychippus_primus,17.5,16.0,72.0,1.88,16.75
Acritohippus_stylodontus,16.0,14.8,196.0,1.68,15.4
Acritohippus_tertius,17.5,16.0,120.0,1.61,16.75
Acritohippus_isonesus,16.0,14.8,91.0,1.86,15.4
Acritohippus_quinni,17.5,12.4,137.0,1.72,14.95
Parapliohippus_carrizoensis,17.5,14.8,71.0,2.0,16.15
Pliohippus_mirabilis,14.8,12.4,112.0,2.5,13.6
Pliohippus_fossulatus,12.4,12.0,199.0,2.64,12.2
Pliohippus_tantalus,12.4,9.0,170.0,2.6,10.7
Pliohippus_nobilis,9.0,6.8,118.0,3.0,7.9
Pliohippus_pernix,12.4,9.0,176.0,3.5,10.7
Heteropliohippus_hulberti,12.4,9.0,263.0,2.2,10.7
Pliohippus_tehonensis,12.4,10.0,123.0,2.02,11.2
Astrohippus_ansae,5.9,4.89,190.0,3.83,5.395
Astrohippus_stockii,5.9,4.89,127.0,3.7,5.395
Dinohippus_leardi,12.4,9.0,506.0,2.61,10.7
Dinohippus_galushai,6.8,4.89,171.0,4.02,5.845
Hippidion_saldiasi,0.5,0.011,265.6,2.6,0.256
Hippidion_principale,1.6,0.011,460.0,2.66,0.805
Hippidion_devillei,2.5,0.011,255.69,2.44,1.256
Dinohippus_interpolatus,6.8,4.89,262.0,2.75,5.845
Dinohippus_leidyanus,7.4,4.89,150.0,2.31,6.145
Dinohippus_mexicanus,6.8,5.9,316.0,2.77,6.35
Equus_simplicidens,4.89,3.6,400.0,3.6,4.245
Equus_scotti,1.8,0.24,500.0,4.2,1.02
Equus_francisci,0.24,0.011,350.0,3.85,0.126
Equus_alaskae,1.8,0.011,372.0,3.6,0.905
Equus_mexicanus,0.24,0.011,400.0,3.5,0.126
Equus_insulatus,1.6,0.011,350.0,4.06,0.805
Equus_santaeelenae,0.13,0.011,350.0,3.86,0.071
Equus_neogeus,0.13,0.011,379.0,4.0,0.071
Equus_andium,0.13,0.011,220.0,4.31,0.071
Equus_yunnanensis,2.58,0.781,300.0,3.6,1.681
Equus_wangi,2.5,1.7,425.0,3.4,2.1
Equus_huanghoensis,2.5,1.7,340.0,3.7,2.1
Equus_qingyangensis,2.5,1.2,358.0,3.6,1.85
Equus_teilhardi,2.5,1.2,280.0,3.61,1.85
Equus_sanmeniensis,2.5,1.7,427.0,3.43,2.1
Equus_major,3.4,1.7,959.0,3.43,2.55
Equus_suessenbornensis,0.9,0.5,565.0,3.76,0.7
Equus_taubachensis,0.13,0.1,580.0,3.41,0.115
Equus_gallicus,0.033,0.008,408.0,3.7,0.021
Equus_ferus,1e-05,0.0,350.0,3.8,0.0
Equus_mosbachensis,0.6,0.128,682.0,3.35,0.364
Equus_przewalskii,1e-05,0.0,350.0,3.67,0.0
Equus_dalianensis,0.13,0.1,550.0,3.6,0.115
Equus_beijingensis,0.35,0.2,600.0,3.35,0.275
Equus_livenzovensis,3.4,2.58,550.0,3.7,2.99
Equus_stenonis,2.58,0.781,420.0,3.64,1.681
Equus_senezensis,2.58,0.781,331.0,3.57,1.681
Equus_altidens,0.9,0.5,300.0,3.31,0.7
Equus_hydruntinus,0.35,0.1,215.0,3.54,0.225
Equus_tabeti,1.5,1.35,273.0,3.44,1.425
Equus_melkiensis,0.04,0.03,275.0,3.4,0.035
Equus_koobiforensis,1.9,0.6,425.0,3.73,1.25
Equus_kiang,1e-05,0.0,300.0,4.88,0.0
Equus_oldowayensis,1.9,0.6,332.0,3.52,1.25
Equus_grevyi,1e-05,0.0,371.0,5.19,0.0
Equus_numidicus,1.9,0.6,474.0,3.72,1.25
Equus_africanus,1e-05,0.0,220.0,5.25,0.0
Equus_hemionus,1e-05,0.0,260.0,4.76,0.0
Equus_zebra,1e-05,0.0,280.0,5.01,0.0
Equus_mauritanicus,0.7,0.6,366.0,3.72,0.65
Equus_quagga,1e-05,0.0,250.0,4.44,0.0
Merychippus_sejunctus,16.0,14.8,86.0,2.42,15.4
Merychippus_intermontanus,16.0,12.4,100.0,1.58,14.2
Protohippus_vetus,16.0,12.0,94.0,1.6,14.0
Protohippus_perditus,14.8,12.4,130.0,2.34,13.6
Protohippus_supremus,14.8,9.0,158.0,2.35,11.9
Protohippus_gidleyi,9.6,6.8,109.0,2.76,8.2
Calippus_proplacidus,14.8,12.4,61.0,2.45,13.6
Calippus_placidus,12.4,9.0,65.0,3.9,10.7
Calippus_elachistus,10.1,6.8,46.0,3.07,8.45
Calippus_regulus,14.8,12.0,50.0,3.27,13.4
Calippus_circulus,14.8,12.4,38.0,2.2,13.6
Calippus_martini,12.4,10.0,120.0,2.76,11.2
