generation,rain,soft,hard,finches,beak
1,201,730,427,600,8.98
2,23,52,529,842,8.80
3,103,243,631,430,9.08
4,78,189,711,521,9.12
5,96,207,768,601,9.20
6,69,112,814,616,9.24
7,83,149,855,556,9.34
8,119,278,888,596,9.31
9,181,511,905,700,9.33
10,75,165,912,834,9.27
11,22,5,932,667,9.27
12,78,101,957,534,9.39
13,113,240,969,596,9.43
14,93,201,978,640,9.38
15,61,53,978,698,9.40
16,68,66,987,581,9.46
17,119,251,995,588,9.45
18,70,107,993,684,9.41
19,107,197,992,664,9.46
20,113,260,993,634,9.47
21,158,431,994,674,9.41
22,203,616,987,782,9.35
23,250,786,967,969,9.28
24,297,941,933,1187,9.25
25,328,1061,901,1320,9.15
26,288,899,873,1497,9.04
27,253,727,863,1465,8.93
28,301,876,870,1360,8.85
29,221,574,873,1553,8.77
30,269,727,894,1301,8.71
31,142,311,549,1336,8.66
32,120,256,380,837,8.77
33,227,699,302,613,8.74
34,97,306,260,845,8.57
35,129,363,248,614,8.43
36,63,137,241,638,8.42
37,143,443,243,352,8.40
38,146,492,242,556,8.31
39,116,319,238,795,8.25
40,125,342,240,647,8.20
41,103,255,240,691,8.10
42,116,291,242,635,8.08
43,221,686,243,623,8.04
44,61,129,244,973,7.90
45,142,421,247,397,8.02
