year,wolves,moose,snow_depth_cm,nao_djfm,ice_bridge,jan_feb_temp_f
1959,20,538,,-0.37,0.0,1.4
1960,22,564,,-1.54,0.0,8.45
1961,22,572,,1.8,1.0,9.75
1962,23,579,,-2.38,1.0,2.15
1963,20,596,,-3.6,1.0,-0.35
1964,26,620,,-2.86,0.0,12.4
1965,28,634,,-2.88,1.0,1.25
1966,26,661,,-1.69,1.0,1.7
1967,22,766,,1.28,1.0,2.75
1968,22,848,,-1.04,1.0,5.85
1969,17,1041,,-4.89,1.0,7.8
1970,18,1045,,-1.89,1.0,3.35
1971,20,1183,,-0.96,1.0,3.2
1972,23,1243,,0.34,1.0,-0.05
1973,24,1215,,2.52,0.0,10.85
1974,31,1203,19.674,1.23,1.0,5.65
1975,41,1139,18.38,1.63,0.0,9.05
1976,44,1070,21.062,1.37,0.0,10.45
1977,34,949,15.074,-2.14,1.0,4.7
1978,40,845,17.055,0.17,0.0,3.25
1979,43,857,25.737,-2.25,1.0,-1.15
1980,50,788,14.139,0.56,0.0,7.15
1981,30,767,11.17,2.05,0.0,11.7
1982,14,780,21.216,0.8,1.0,0.4
1983,23,830,16.248,3.42,0.0,14.45
1984,24,927,12.785,1.6,0.0,12.5
1985,22,976,13.504,-0.63,1.0,5.45
1986,20,1014,23.097,0.5,0.0,9.8
1987,16,1046,14.057,-0.75,0.0,17.95
1988,12,1116,17.378,0.72,1.0,3.1
1989,12,1260,23.25,5.08,0.0,6.6
1990,15,1315,20.319,3.96,0.0,13.05
1991,12,1496,15.179,1.03,1.0,9.1
1992,12,1697,18.077,3.28,0.0,15.2
1993,13,1784,15.179,2.67,0.0,9.1
1994,17,2017,18.613,3.03,1.0,-0.4
1995,16,2117,10.265,3.96,0.0,9.5
1996,22,2398,33.246,-3.78,1.0,2.8
1997,24,900,25.525,-0.17,1.0,8.35
1998,14,925,16.944,0.72,0.0,20.75
1999,25,997,15.369,1.7,0.0,12.4
2000,29,1031,11.811,2.8,0.0,12.6
2001,19,1120,23.075,-1.9,0.0,10.05
2002,17,1100,8.209,0.76,0.0,16.65
2003,19,900,6.78,0.2,0.0,5.8
2004,29,750,16.696,-0.07,0.0,7.6
2005,30,540,27.559,0.12,0.0,10.15
2006,30,450,16.426,-1.09,0.0,15.2
2007,21,385,7.087,2.79,0.0,7.95
2008,23,650,14.291,2.1,1.0,7.75
2009,24,530,22.953,-0.41,0.0,6.0
2010,19,510,12.913,-4.64,0.0,10.65
2011,16,515,19.291,-1.57,0.0,6.85
2012,9,750,14.173,3.17,0.0,17.15
2013,8,975,11.654,-1.97,0.0,8.95
2014,9,1050,28.504,3.1,1.0,-1.05
2015,3,1250,18.898,3.56,1.0,3.85
2016,2,1300,25.998,0.98,0.0,11.95
2017,2,1600,16.201,1.47,0.0,15.4
2018,2,1475,19.232,0.3,1.0,6.05
2019,15,2060,,,1.0,3.5
