population,generation,fitness,replicate,mutator_ever,complete
Ara - 1,0,0.910699904,1,Yes,Yes
Ara - 1,500,1.11253385,1,Yes,Yes
Ara - 1,1000,0.99821983,1,Yes,Yes
Ara - 1,1500,1.203381179,1,Yes,Yes
Ara - 1,2000,1.262659378,1,Yes,Yes
Ara - 1,2500,1.359457018,1,Yes,Yes
Ara - 1,3000,1.211697985,1,Yes,Yes
Ara - 1,3500,1.261849015,1,Yes,Yes
Ara - 1,4000,1.21159652,1,Yes,Yes
Ara - 1,4500,1.390293936,1,Yes,Yes
Ara - 1,5000,1.355383317,1,Yes,Yes
Ara - 1,6000,1.445180916,1,Yes,Yes
Ara - 1,7000,1.271422864,1,Yes,Yes
Ara - 1,8000,1.49517616,1,Yes,Yes
Ara - 1,9000,1.382129783,1,Yes,Yes
Ara - 1,10000,1.349289071,1,Yes,Yes
Ara - 1,11000,1.427948471,1,Yes,Yes
Ara - 1,12000,1.47738471,1,Yes,Yes
Ara - 1,13000,1.440798106,1,Yes,Yes
Ara - 1,14000,1.336651198,1,Yes,Yes
Ara - 1,15000,1.46977996,1,Yes,Yes
Ara - 1,16000,1.481388763,1,Yes,Yes
Ara - 1,17000,1.33157471,1,Yes,Yes
Ara - 1,18000,1.553550132,1,Yes,Yes
Ara - 1,19000,1.496842327,1,Yes,Yes
Ara - 1,20000,1.435615946,1,Yes,Yes
Ara - 1,22000,1.578332058,1,Yes,Yes
Ara - 1,24000,1.764073117,1,Yes,Yes
Ara - 1,26000,1.581792539,1,Yes,Yes
Ara - 1,28000,1.812140099,1,Yes,Yes
Ara - 1,30000,1.460282403,1,Yes,Yes
Ara - 1,32000,2.021813917,1,Yes,Yes
Ara - 1,34000,1.844907913,1,Yes,Yes
Ara - 1,36000,2.084364992,1,Yes,Yes
Ara - 1,38000,1.877496757,1,Yes,Yes
Ara - 1,40000,1.859594605,1,Yes,Yes
Ara - 1,42000,1.674140374,1,Yes,Yes
Ara - 1,44000,1.606857522,1,Yes,Yes
Ara - 1,46000,1.575513844,1,Yes,Yes
Ara - 1,48000,1.885293796,1,Yes,Yes
Ara - 1,50000,1.416568779,1,Yes,Yes
Ara - 1,0,0.989046257,1,Yes,Yes
Ara - 1,0,1.091062033,2,Yes,Yes
Ara - 1,500,1.00949168,2,Yes,Yes
Ara - 1,1000,1.177707178,2,Yes,Yes
Ara - 1,1500,1.058552671,2,Yes,Yes
Ara - 1,4000,1.476561995,2,Yes,Yes
Ara - 1,4500,1.239608697,2,Yes,Yes
Ara - 1,5000,1.290347523,2,Yes,Yes
Ara - 1,6000,1.276398555,2,Yes,Yes
Ara - 1,7000,1.31858637,2,Yes,Yes
Ara - 1,8000,1.470523627,2,Yes,Yes
Ara - 1,9000,1.605422936,2,Yes,Yes
Ara - 1,10000,1.32110896,2,Yes,Yes
Ara - 1,11000,1.314563359,2,Yes,Yes
Ara - 1,12000,1.360433371,2,Yes,Yes
Ara - 1,13000,1.394443845,2,Yes,Yes
Ara - 1,14000,1.310821468,2,Yes,Yes
Ara - 1,15000,1.425390656,2,Yes,Yes
Ara - 1,16000,1.260233354,2,Yes,Yes
Ara - 1,17000,1.532145229,2,Yes,Yes
Ara - 1,18000,1.564221066,2,Yes,Yes
Ara - 1,19000,1.398657143,2,Yes,Yes
Ara - 1,20000,1.429873945,2,Yes,Yes
Ara - 1,22000,1.465827942,2,Yes,Yes
Ara - 1,24000,1.403350758,2,Yes,Yes
Ara - 1,26000,1.403923339,2,Yes,Yes
Ara - 1,28000,1.47493208,2,Yes,Yes
Ara - 1,30000,1.403943887,2,Yes,Yes
Ara - 1,32000,1.534066566,2,Yes,Yes
Ara - 1,34000,1.556039829,2,Yes,Yes
Ara - 1,36000,1.601353971,2,Yes,Yes
Ara - 1,38000,1.684713953,2,Yes,Yes
Ara - 1,40000,1.587529555,2,Yes,Yes
Ara - 1,42000,1.649138028,2,Yes,Yes
Ara - 1,44000,1.500184822,2,Yes,Yes
Ara - 1,46000,1.786693169,2,Yes,Yes
Ara - 1,48000,1.644737136,2,Yes,Yes
Ara - 1,50000,1.771871963,2,Yes,Yes
Ara - 1,0,1.00564302,2,Yes,Yes
Ara - 2,0,1.033852944,1,Yes,No
Ara - 2,500,1.196483672,1,Yes,No
Ara - 2,1000,1.233679926,1,Yes,No
Ara - 2,1500,1.250687779,1,Yes,No
Ara - 2,2000,1.239690088,1,Yes,No
Ara - 2,2500,1.138379539,1,Yes,No
Ara - 2,3000,1.290161598,1,Yes,No
Ara - 2,3500,1.411450092,1,Yes,No
Ara - 2,4000,1.405406664,1,Yes,No
Ara - 2,4500,1.366534447,1,Yes,No
Ara - 2,5000,1.366205832,1,Yes,No
Ara - 2,6000,1.275176854,1,Yes,No
Ara - 2,7000,1.440276538,1,Yes,No
Ara - 2,8000,1.231552283,1,Yes,No
Ara - 2,9000,1.623772906,1,Yes,No
Ara - 2,10000,1.426629368,1,Yes,No
Ara - 2,11000,1.44438586,1,Yes,No
Ara - 2,12000,1.577648769,1,Yes,No
Ara - 2,13000,1.434462554,1,Yes,No
Ara - 2,14000,1.740640602,1,Yes,No
Ara - 2,15000,1.584187214,1,Yes,No
Ara - 2,16000,1.58387209,1,Yes,No
Ara - 2,17000,1.470779568,1,Yes,No
Ara - 2,18000,1.594546393,1,Yes,No
Ara - 2,19000,1.673183757,1,Yes,No
Ara - 2,20000,1.644826948,1,Yes,No
Ara - 2,22000,1.659768012,1,Yes,No
Ara - 2,24000,1.506818868,1,Yes,No
Ara - 2,26000,1.741923661,1,Yes,No
Ara - 2,28000,1.627403661,1,Yes,No
Ara - 2,30000,1.848407129,1,Yes,No
Ara - 2,0,0.912222845,1,Yes,No
Ara - 2,0,0.971374667,2,Yes,No
Ara - 2,500,1.032056485,2,Yes,No
Ara - 2,1000,1.15565586,2,Yes,No
Ara - 2,1500,1.273982506,2,Yes,No
Ara - 2,2000,1.216330729,2,Yes,No
Ara - 2,2500,1.365386636,2,Yes,No
Ara - 2,3000,1.322819329,2,Yes,No
Ara - 2,3500,1.435341016,2,Yes,No
Ara - 2,4000,1.354215801,2,Yes,No
Ara - 2,4500,1.293378149,2,Yes,No
Ara - 2,5000,1.377624868,2,Yes,No
Ara - 2,6000,1.365649465,2,Yes,No
Ara - 2,7000,1.331749265,2,Yes,No
Ara - 2,8000,1.479540902,2,Yes,No
Ara - 2,9000,1.417205848,2,Yes,No
Ara - 2,10000,1.567206626,2,Yes,No
Ara - 2,11000,1.497818027,2,Yes,No
Ara - 2,12000,1.404673336,2,Yes,No
Ara - 2,13000,1.54367403,2,Yes,No
Ara - 2,14000,1.307297497,2,Yes,No
Ara - 2,15000,1.518289647,2,Yes,No
Ara - 2,16000,1.469143688,2,Yes,No
Ara - 2,17000,1.609667458,2,Yes,No
Ara - 2,18000,1.882438827,2,Yes,No
Ara - 2,19000,1.661667641,2,Yes,No
Ara - 2,20000,1.714818828,2,Yes,No
Ara - 2,22000,1.525428347,2,Yes,No
Ara - 2,24000,1.739147249,2,Yes,No
Ara - 2,26000,1.609036931,2,Yes,No
Ara - 2,28000,1.495554985,2,Yes,No
Ara - 2,30000,1.890242222,2,Yes,No
Ara - 2,0,0.998786458,2,Yes,No
Ara - 3,0,0.988657331,1,Yes,No
Ara - 3,500,1.181155747,1,Yes,No
Ara - 3,1000,1.128681738,1,Yes,No
Ara - 3,1500,1.223872457,1,Yes,No
Ara - 3,2000,1.319766847,1,Yes,No
Ara - 3,2500,1.289302426,1,Yes,No
Ara - 3,3000,1.216232542,1,Yes,No
Ara - 3,3500,1.328281608,1,Yes,No
Ara - 3,4000,1.257748575,1,Yes,No
Ara - 3,4500,1.518238542,1,Yes,No
Ara - 3,5000,1.338787582,1,Yes,No
Ara - 3,6000,1.329391587,1,Yes,No
Ara - 3,7000,1.375051729,1,Yes,No
Ara - 3,8000,1.481077478,1,Yes,No
Ara - 3,9000,1.525918024,1,Yes,No
Ara - 3,10000,1.559995298,1,Yes,No
Ara - 3,11000,1.438600757,1,Yes,No
Ara - 3,12000,1.52766249,1,Yes,No
Ara - 3,13000,1.45868598,1,Yes,No
Ara - 3,14000,1.41941221,1,Yes,No
Ara - 3,15000,1.559830384,1,Yes,No
Ara - 3,16000,1.531197828,1,Yes,No
Ara - 3,17000,1.44182585,1,Yes,No
Ara - 3,18000,1.465081148,1,Yes,No
Ara - 3,19000,1.443043434,1,Yes,No
Ara - 3,20000,1.565324141,1,Yes,No
Ara - 3,22000,1.429505426,1,Yes,No
Ara - 3,24000,1.558260271,1,Yes,No
Ara - 3,26000,1.707146844,1,Yes,No
Ara - 3,28000,1.559832685,1,Yes,No
Ara - 3,30000,1.524713248,1,Yes,No
Ara - 3,32000,1.528985451,1,Yes,No
Ara - 3,0,1.108827463,1,Yes,No
Ara - 3,0,0.914894045,2,Yes,No
Ara - 3,500,1.086330241,2,Yes,No
Ara - 3,1000,1.080107248,2,Yes,No
Ara - 3,1500,1.243262586,2,Yes,No
Ara - 3,2000,1.151368603,2,Yes,No
Ara - 3,2500,1.205525096,2,Yes,No
Ara - 3,3000,1.269047337,2,Yes,No
Ara - 3,3500,1.520041248,2,Yes,No
Ara - 3,4000,1.226630172,2,Yes,No
Ara - 3,4500,1.187303682,2,Yes,No
Ara - 3,5000,1.223327194,2,Yes,No
Ara - 3,6000,1.375998602,2,Yes,No
Ara - 3,7000,1.364764955,2,Yes,No
Ara - 3,8000,1.309898152,2,Yes,No
Ara - 3,9000,1.176019175,2,Yes,No
Ara - 3,10000,1.569642931,2,Yes,No
Ara - 3,11000,1.23940319,2,Yes,No
Ara - 3,12000,1.522159528,2,Yes,No
Ara - 3,13000,1.281217178,2,Yes,No
Ara - 3,14000,1.58004025,2,Yes,No
Ara - 3,15000,1.444660144,2,Yes,No
Ara - 3,16000,1.63702735,2,Yes,No
Ara - 3,17000,1.442127594,2,Yes,No
Ara - 3,18000,1.778119764,2,Yes,No
Ara - 3,19000,1.403652765,2,Yes,No
Ara - 3,20000,1.641967938,2,Yes,No
Ara - 3,22000,1.428117937,2,Yes,No
Ara - 3,24000,1.444575509,2,Yes,No
Ara - 3,26000,1.274394055,2,Yes,No
Ara - 3,28000,1.394210208,2,Yes,No
Ara - 3,30000,1.378811311,2,Yes,No
Ara - 3,32000,1.674859195,2,Yes,No
Ara - 3,0,1.018061454,2,Yes,No
Ara - 4,0,0.954354564,1,Yes,Yes
Ara - 4,500,1.044084318,1,Yes,Yes
Ara - 4,1000,1.064112133,1,Yes,Yes
Ara - 4,1500,1.223186682,1,Yes,Yes
Ara - 4,2000,1.230298674,1,Yes,Yes
Ara - 4,2500,1.203199195,1,Yes,Yes
Ara - 4,3000,1.313983429,1,Yes,Yes
Ara - 4,3500,1.336797252,1,Yes,Yes
Ara - 4,4000,1.24953892,1,Yes,Yes
Ara - 4,4500,1.192322994,1,Yes,Yes
Ara - 4,5000,1.39864017,1,Yes,Yes
Ara - 4,6000,1.303600289,1,Yes,Yes
Ara - 4,7000,1.553661201,1,Yes,Yes
Ara - 4,8000,1.572378285,1,Yes,Yes
Ara - 4,9000,1.511467346,1,Yes,Yes
Ara - 4,10000,1.728378475,1,Yes,Yes
Ara - 4,11000,1.610831576,1,Yes,Yes
Ara - 4,12000,1.393587835,1,Yes,Yes
Ara - 4,13000,1.468401868,1,Yes,Yes
Ara - 4,14000,1.531964146,1,Yes,Yes
Ara - 4,15000,1.587667785,1,Yes,Yes
Ara - 4,16000,2.147609657,1,Yes,Yes
Ara - 4,17000,1.498833411,1,Yes,Yes
Ara - 4,18000,2.207130554,1,Yes,Yes
Ara - 4,19000,1.808337118,1,Yes,Yes
Ara - 4,20000,1.789386118,1,Yes,Yes
Ara - 4,22000,1.457239719,1,Yes,Yes
Ara - 4,24000,1.530304977,1,Yes,Yes
Ara - 4,26000,1.651984982,1,Yes,Yes
Ara - 4,28000,1.491485714,1,Yes,Yes
Ara - 4,30000,1.585802569,1,Yes,Yes
Ara - 4,32000,1.557624707,1,Yes,Yes
Ara - 4,34000,1.802030888,1,Yes,Yes
Ara - 4,36000,1.547651771,1,Yes,Yes
Ara - 4,38000,1.72633614,1,Yes,Yes
Ara - 4,40000,2.071717057,1,Yes,Yes
Ara - 4,42000,1.432253648,1,Yes,Yes
Ara - 4,44000,1.724120427,1,Yes,Yes
Ara - 4,46000,1.707706969,1,Yes,Yes
Ara - 4,48000,1.919745837,1,Yes,Yes
Ara - 4,50000,1.827779792,1,Yes,Yes
Ara - 4,0,0.954791786,1,Yes,Yes
Ara - 4,0,0.960754344,2,Yes,Yes
Ara - 4,500,1.073426776,2,Yes,Yes
Ara - 4,1000,1.082200106,2,Yes,Yes
Ara - 4,1500,1.172261507,2,Yes,Yes
Ara - 4,2000,1.274554337,2,Yes,Yes
Ara - 4,2500,1.244710021,2,Yes,Yes
Ara - 4,3000,1.243572483,2,Yes,Yes
Ara - 4,3500,1.242147911,2,Yes,Yes
Ara - 4,4000,1.502414947,2,Yes,Yes
Ara - 4,4500,1.202252299,2,Yes,Yes
Ara - 4,5000,1.272534958,2,Yes,Yes
Ara - 4,6000,1.331347164,2,Yes,Yes
Ara - 4,7000,1.437711014,2,Yes,Yes
Ara - 4,8000,1.225525001,2,Yes,Yes
Ara - 4,9000,1.536209561,2,Yes,Yes
Ara - 4,10000,1.569862802,2,Yes,Yes
Ara - 4,11000,1.489977786,2,Yes,Yes
Ara - 4,12000,1.426882148,2,Yes,Yes
Ara - 4,13000,1.54413462,2,Yes,Yes
Ara - 4,14000,1.454417887,2,Yes,Yes
Ara - 4,15000,1.596162865,2,Yes,Yes
Ara - 4,16000,1.56413043,2,Yes,Yes
Ara - 4,17000,1.642546787,2,Yes,Yes
Ara - 4,18000,1.492001481,2,Yes,Yes
Ara - 4,19000,1.383239172,2,Yes,Yes
Ara - 4,20000,1.6692926,2,Yes,Yes
Ara - 4,22000,1.473478497,2,Yes,Yes
Ara - 4,24000,1.48876689,2,Yes,Yes
Ara - 4,26000,1.972371732,2,Yes,Yes
Ara - 4,28000,1.519994867,2,Yes,Yes
Ara - 4,30000,1.443054703,2,Yes,Yes
Ara - 4,32000,1.892632505,2,Yes,Yes
Ara - 4,34000,1.675874168,2,Yes,Yes
Ara - 4,36000,1.56743557,2,Yes,Yes
Ara - 4,38000,1.757134634,2,Yes,Yes
Ara - 4,40000,1.970939398,2,Yes,Yes
Ara - 4,42000,1.596114924,2,Yes,Yes
Ara - 4,44000,1.666787003,2,Yes,Yes
Ara - 4,46000,1.647631778,2,Yes,Yes
Ara - 4,48000,1.945840516,2,Yes,Yes
Ara - 4,50000,1.789019463,2,Yes,Yes
Ara - 4,0,0.921538147,2,Yes,Yes
Ara - 5,0,0.967017298,1,No,Yes
Ara - 5,500,1.048494197,1,No,Yes
Ara - 5,1000,1.120402508,1,No,Yes
Ara - 5,1500,1.222847994,1,No,Yes
Ara - 5,2000,1.279569341,1,No,Yes
Ara - 5,2500,1.275292811,1,No,Yes
Ara - 5,3000,1.256138006,1,No,Yes
Ara - 5,3500,1.237262637,1,No,Yes
Ara - 5,4000,1.333634002,1,No,Yes
Ara - 5,4500,1.394304139,1,No,Yes
Ara - 5,5000,1.302729306,1,No,Yes
Ara - 5,6000,1.212472691,1,No,Yes
Ara - 5,7000,1.272014448,1,No,Yes
Ara - 5,8000,1.387915896,1,No,Yes
Ara - 5,9000,1.541765187,1,No,Yes
Ara - 5,10000,1.402804047,1,No,Yes
Ara - 5,11000,1.430635827,1,No,Yes
Ara - 5,12000,1.451636114,1,No,Yes
Ara - 5,13000,1.38994839,1,No,Yes
Ara - 5,14000,1.414327853,1,No,Yes
Ara - 5,15000,1.560270566,1,No,Yes
Ara - 5,16000,1.379865284,1,No,Yes
Ara - 5,17000,1.417217914,1,No,Yes
Ara - 5,18000,1.419150036,1,No,Yes
Ara - 5,19000,1.438313065,1,No,Yes
Ara - 5,20000,1.527682449,1,No,Yes
Ara - 5,22000,1.409438209,1,No,Yes
Ara - 5,24000,1.474751851,1,No,Yes
Ara - 5,26000,1.570509444,1,No,Yes
Ara - 5,28000,1.554470874,1,No,Yes
Ara - 5,30000,1.524333315,1,No,Yes
Ara - 5,32000,1.477241407,1,No,Yes
Ara - 5,34000,1.655810441,1,No,Yes
Ara - 5,36000,1.720675945,1,No,Yes
Ara - 5,38000,1.411245304,1,No,Yes
Ara - 5,40000,1.813556261,1,No,Yes
