population,generation,mean_fitness,sd_fitness,se_fitness,n
Ara + 1,0,0.94170028075,0.0626915844892182,0.0313457922446091,4
Ara + 1,500,1.109637274,0.024380675533999547,0.01723974100000003,2
Ara + 1,1000,1.2959041375,0.06691359743517632,0.047315058499999944,2
Ara + 1,1500,1.223509801,0.1515979691498953,0.10719595199999998,2
Ara + 1,2000,1.240105089,0.009076556993598967,0.006418095000000012,2
Ara + 1,2500,1.353182712,0.037045093749552595,0.026194837000000023,2
Ara + 1,3000,1.3184129085,0.08859338386612513,0.06264498249999995,2
Ara + 1,3500,1.2784845075,0.06758042175725232,0.047786574500000005,2
Ara + 1,4000,1.2595518315,0.07513340829634046,0.053127342499999945,2
Ara + 1,4500,1.3446944645,0.07144209028123107,0.050517186500000026,2
Ara + 1,5000,1.216703361,0.025495121075983534,0.018027773000000025,2
Ara + 1,6000,1.3709775485,0.019692432416832537,0.013924652500000079,2
Ara + 1,7000,1.315097639,0.10676218784569085,0.075492267,2
Ara + 1,8000,1.353564526,0.025335187664214862,0.017914683000000094,2
Ara + 1,9000,1.4132797165,0.052397027557603726,0.0370502935,2
Ara + 1,10000,1.283385096,0.19369015917253324,0.136959625,2
Ara + 1,11000,1.3638488325,0.11015335670985625,0.07789018550000004,2
Ara + 1,12000,1.357493248,0.004431359001736658,0.0031334440000000403,2
Ara + 1,13000,1.424380017,0.024934915728588535,0.017631648000000055,2
Ara + 1,14000,1.3867409725,0.17453614472895387,0.12341569149999997,2
Ara + 1,15000,1.4927625425,0.044470586814672426,0.031445453499999935,2
Ara + 1,16000,1.3963764269999999,0.02948804983175382,0.02085119999999996,2
Ara + 1,17000,1.3294804500000001,0.12047535006954711,0.08518893699999996,2
Ara + 1,18000,1.479177402,0.005095446820569296,0.003603024999999982,2
Ara + 1,19000,1.5815387255,0.11470538631222947,0.08110895650000004,2
Ara + 1,20000,1.50549351,0.09574760531413797,0.06770378100000006,2
Ara + 1,22000,1.4318937455,0.12504530977857084,0.08842038649999993,2
Ara + 1,24000,1.510935168,0.24100469057026508,0.170416051,2
Ara + 1,26000,1.4445432685,0.044230686697019427,0.03127581850000005,2
Ara + 1,28000,1.410634787,0.013120816044829136,0.009277817999999938,2
Ara + 1,30000,1.4327512960000002,0.06794156735335515,0.048041942999999976,2
Ara + 1,32000,1.4991859425,0.05401464604243936,0.038194122499999976,2
Ara + 1,34000,1.3583456205000002,0.17238730096104338,0.12189622950000001,2
Ara + 1,36000,1.501430885,0.009233544598517312,0.006529102000000008,2
Ara + 1,38000,1.6081638335,0.20069204436403426,0.14191070550000004,2
Ara + 1,40000,1.5155634335000001,0.08871565677072792,0.06273144249999996,2
Ara + 1,42000,1.4411356835000002,0.04276252512988242,0.030237671500000007,2
Ara + 1,44000,1.4084089165,0.00675799982002891,0.00477862749999991,2
Ara + 1,46000,1.6393479635000001,0.08439904564322874,0.05967913749999998,2
Ara + 1,48000,1.5288109985,0.12339375723930615,0.08725256250000002,2
Ara + 1,50000,1.4060233635000001,0.008365734366277336,0.005915467500000049,2
Ara + 2,0,0.99613146275,0.009158404295653191,0.004579202147826596,4
Ara + 2,500,1.237445337,0.016155343583087824,0.011423552999999975,2
Ara + 2,1000,1.2455924315,0.09787468787085736,0.06920785549999997,2
Ara + 2,1500,1.2846214575000001,0.03256754865418933,0.023028734500000092,2
Ara + 2,2000,1.383870685,0.2217325221190834,0.15678857,2
Ara + 2,2500,1.4102710705,0.09376535661098177,0.06630211950000008,2
Ara + 2,3000,1.4486164965000001,0.04000941053418685,0.028290925500000008,2
Ara + 2,3500,1.392538697,0.08024206740711633,0.05673971,2
Ara + 2,4000,1.5030121285,0.06062098206450556,0.04286550749999995,2
Ara + 2,4500,1.544760314,0.033040093266813654,0.023362873999999922,2
Ara + 2,5000,1.463605855,0.030379383385283572,0.021481467999999948,2
Ara + 2,6000,1.505294578,0.17332638048575918,0.12256025899999999,2
Ara + 2,7000,1.5926891765,0.1087056899256652,0.07686653050000003,2
Ara + 2,8000,1.6539104205,0.33614324572188387,0.2376891685,2
Ara + 2,9000,1.602565526,0.33821471150183596,0.239153916,2
Ara + 2,10000,1.4858835039999998,0.05874830945658918,0.04154132799999998,2
Ara + 2,11000,1.3733673905,0.1947510986514917,0.13770982250000008,2
Ara + 2,12000,1.5358480664999998,0.07285514984533725,0.05151637050000002,2
Ara + 2,13000,1.462637266,0.258287687035796,0.18263697500000006,2
Ara + 2,14000,1.4480241015,0.1206351738797649,0.08530194950000003,2
Ara + 2,15000,1.413557472,0.12537308983409678,0.08865216200000003,2
Ara + 2,16000,1.54677017,0.09511043563625143,0.06725323400000005,2
Ara + 2,17000,1.6202734305000002,0.286495887028631,0.2025831845,2
Ara + 2,18000,1.8109628389999999,0.4298023510537108,0.3039161569999999,2
Ara + 2,19000,1.3904486665,0.05358680118498739,0.0378915904999999,2
Ara + 2,20000,1.686324334,0.021987769617921767,0.015547701000000023,2
Ara + 2,22000,1.8325554400000001,0.2694408596680345,0.19052345900000012,2
Ara + 2,24000,1.7872694595,0.13695501737021437,0.09684182149999998,2
Ara + 2,26000,1.5588197915,0.09741098138589084,0.06887996549999996,2
Ara + 2,28000,1.7238977924999999,0.04056490230777846,0.02868371749999998,2
Ara + 2,30000,1.6926604969999999,0.2327622664342386,0.16458777700000002,2
Ara + 2,32000,1.7107090885,0.04851981824078811,0.034308692500000015,2
Ara + 2,34000,1.5973969185,0.10776297375077368,0.07619992949999999,2
Ara + 2,36000,1.7414821804999998,0.22072808612879602,0.15607832649999998,2
Ara + 2,38000,2.02890194,0.11719426853882454,0.0828688620000001,2
Ara + 2,40000,1.7153702155000001,0.2305374574777183,0.16301459949999997,2
Ara + 2,42000,1.660266822,0.0929144335028898,0.06570042599999992,2
Ara + 2,44000,1.920122578,0.21749829883108732,0.15379452199999996,2
Ara + 2,46000,1.729001692,0.1788260958094821,0.12644914500000004,2
Ara + 2,48000,1.8698457225,0.22524683787183308,0.15927356650000002,2
Ara + 2,50000,2.105789492,0.42625319827117253,0.30140652700000004,2
Ara + 3,0,0.993965391,0.045265103177275307,0.022632551588637653,4
Ara + 3,500,1.1719217395000001,0.003680178961985357,0.002602279499999915,2
Ara + 3,1000,1.1569168969999999,0.09084965483176767,0.06424040700000011,2
Ara + 3,1500,1.208088399,0.11109891898954204,0.07855879900000007,2
Ara + 3,2000,1.292417307,0.2660430828909987,0.18812086799999994,2
Ara + 3,2500,1.402687238,0.13016259559207718,0.09203885399999999,2
Ara + 3,3000,1.3799439915,0.1516215801524258,0.10721264749999992,2
