name_last,name_first,position,country,height_in,weight_lb,from_year,to_year
Abdelnaby,Alaa,F,USA,82,240,1990,1994
Abdul-Aziz,Zaid,C,USA,81,235,1968,1977
Abdul-Jabbar,Kareem,C,USA,86,225,1969,1988
Abdul-Rauf,Mahmoud,G,USA,73,162,1990,2000
Abdul-Wahad,Tariq,F-G,France,78,235,1997,2003
Abdur-Rahim,Shareef,F,USA,81,245,1996,2007
Abernethy,Tom,F,USA,79,220,1976,1980
Able,Forest,G,USA,75,180,1956,1956
Abramovic,John,F,USA,75,195,1946,1947
Abrines,Alex,G,Spain,78,190,2016,2018
Achiuwa,Precious,F,Nigeria,80,225,2020,2022
Acker,Alex,G,USA,77,185,2005,2008
Ackerman,Donald,G,USA,72,183,1953,1953
Acres,Mark,C,USA,83,220,1987,1992
Acton,Charles,F,USA,78,210,1967,1967
Acy,Quincy,F,USA,79,240,2012,2018
Adams,Alvan,C,USA,81,210,1975,1987
Adams,Don,F,USA,79,210,1970,1976
Adams,Hassan,F,USA,76,220,2006,2008
Adams,Jaylen,G,USA,72,225,2018,2020
Adams,Jordan,G,USA,77,209,2014,2015
Adams,Michael,G,USA,70,165,1985,1995
Adams,Steven,C,New Zealand,83,265,2013,2022
Addison,Rafael,F,USA,80,241,1986,1996
Adebayo,Bam,C-F,USA,81,255,2017,2022
Adel,Deng,F,South Sudan,79,200,2018,2018
Adelman,Rick,G,USA,74,175,1968,1974
Adrien,Jeff,F,USA,79,245,2010,2014
Afflalo,Arron,G,USA,77,210,2007,2017
Agbaji,Ochai,G,USA,77,215,2022,2022
Ager,Maurice,F-G,USA,77,202,2006,2010
Aguirre,Mark,F,USA,78,232,1981,1993
Ahearn,Blake,G,USA,74,190,2007,2011
Ainge,Danny,G,USA,77,175,1981,1994
Ajinca,Alexis,C,France,86,248,2008,2017
Akin,Henry,C,USA,82,225,1966,1967
Akognon,Josh,G,USA,71,185,2012,2012
Akoon-Purcell,DeVaughn,G,Trinidad and Tobago,77,201,2018,2018
Alabi,Solomon,C,Nigeria,85,252,2010,2011
Alarie,Mark,F,USA,80,217,1986,1990
Alcorn,Gary,C,USA,81,225,1959,1960
Aldama,Santi,F-C,Spain,84,215,2021,2022
Aldemir,Furkan,F-C,Turkey,82,240,2014,2014
Aldrich,Cole,C,USA,83,253,2010,2017
Aldridge,LaMarcus,C-F,USA,83,250,2006,2021
Aleksinas,Chuck,C,USA,83,260,1984,1984
Alexander,Cliff,F,USA,80,240,2015,2015
Alexander,Cory,G,USA,73,190,1995,2004
Alexander,Courtney,G,USA,77,205,2000,2003
Alexander,Gary,F,USA,79,240,1993,1993
Alexander,Joe,F,USA,80,230,2008,2009
