order,family,genus,species,binomial,adult_body_mass_g,adult_head_body_len_mm,gestation_days,litter_size,litters_per_year,max_longevity_months,weaning_age_days,neonate_body_mass_g,sexual_maturity_age_days,diet_breadth,habitat_breadth,trophic_level,home_range_km2,pop_density_per_km2,geog_range_km2
Artiodactyla,Camelidae,Camelus,dromedarius,Camelus dromedarius,492714.47,,386.51,0.98,1.0,480.0,389.38,36751.19,1947.94,3,1,1,196.32,0.98,
Carnivora,Canidae,Canis,adustus,Canis adustus,10392.49,745.32,65.0,4.5,,137.0,52.89,,249.88,6,1,2,1.01,0.74,10581413.14
Carnivora,Canidae,Canis,aureus,Canis aureus,9658.7,827.53,61.24,3.74,,192.0,61.3,211.82,371.23,6,1,2,2.95,0.22,25739527.43
Carnivora,Canidae,Canis,latrans,Canis latrans,11989.1,872.39,61.74,5.72,,262.0,43.71,200.01,372.9,1,1,3,18.88,0.25,17099094.3
Carnivora,Canidae,Canis,lupus,Canis lupus,31756.51,1055.0,63.5,4.98,2.0,354.0,44.82,412.31,679.37,1,1,3,159.86,0.01,50803439.7
Artiodactyla,Bovidae,Bos,frontalis,Bos frontalis,800143.05,2700.0,273.75,1.22,1.0,314.4,186.67,22977.05,610.97,3,,1,,0.54,2294331.63
Artiodactyla,Bovidae,Bos,grunniens,Bos grunniens,500000.0,,273.75,1.0,1.0,267.0,243.33,,755.15,2,,1,,,1523540.07
Artiodactyla,Bovidae,Bos,javanicus,Bos javanicus,635974.34,2075.0,296.78,1.22,1.0,318.96,287.74,,797.31,2,1,1,,0.75,1687920.66
Primates,Pitheciidae,Callicebus,cupreus,Callicebus cupreus,1117.02,354.99,129.25,1.01,,,201.85,73.6,,,1,,,4.89,690923.14
Primates,Pitheciidae,Callicebus,donacophilus,Callicebus donacophilus,897.67,,,1.02,,,,,,,1,,,,288759.02
Primates,Pitheciidae,Callicebus,dubius,Callicebus dubius,992.4,,,1.02,,,,,,,1,,,,
Primates,Pitheciidae,Callicebus,hoffmannsi,Callicebus hoffmannsi,1067.61,,,1.02,,,,,,,1,,,,98076.46
Primates,Pitheciidae,Callicebus,modestus,Callicebus modestus,992.4,,,1.02,,,,,,,1,,,,17288.42
Didelphimorphia,Didelphidae,Caluromys,derbianus,Caluromys derbianus,326.72,231.0,,3.14,,60.0,,,251.71,3,1,2,,11.86,678553.48
Didelphimorphia,Didelphidae,Caluromys,lanatus,Caluromys lanatus,350.33,273.3,,,,60.0,,,,4,2,2,,,3683731.12
Didelphimorphia,Didelphidae,Caluromys,philander,Caluromys philander,246.47,224.27,23.99,4.18,2.0,76.0,119.65,0.2,314.52,4,2,2,0.009960363,62.32,3212264.13
Didelphimorphia,Didelphidae,Caluromysiops,irrupta,Caluromysiops irrupta,257.48,234.52,,2.0,,94.0,,,,3,1,2,,8.85,188864.44
Cingulata,Dasypodidae,Calyptophractus,retusus,Calyptophractus retusus,129.99,157.5,,,,144.0,,,,4,2,2,,,1081453.8
Artiodactyla,Camelidae,Camelus,bactrianus,Camelus bactrianus,554515.91,,397.99,1.39,1.0,480.0,368.13,34346.64,1330.6,2,1,1,,0.06,188693.0
Artiodactyla,Bovidae,Bos,sauveli,Bos sauveli,791321.76,2175.0,,,,,,,755.15,2,1,1,,,115557.18
Artiodactyla,Bovidae,Bos,taurus,Bos taurus,618642.42,,280.48,,1.0,240.0,,,755.15,,,,10.04,,44447.62
Artiodactyla,Bovidae,Boselaphus,tragocamelus,Boselaphus tragocamelus,182253.04,2000.0,248.49,1.39,,260.4,,5875.0,,5,,1,,2.39,2192564.81
Carnivora,Canidae,Canis,mesomelas,Canis mesomelas,8247.3,707.27,62.5,3.89,,168.0,34.1,177.2,241.4,6,1,2,11.93,0.74,6248779.95
Carnivora,Canidae,Canis,simensis,Canis simensis,14361.86,938.19,63.61,,,,69.6,,754.74,1,1,3,4.2,1.2,11402.81
Rodentia,Spalacidae,Cannomys,badius,Cannomys badius,472.07,,41.49,2.0,,48.0,50.1,,,,,,,,818286.0
Cetacea,Neobalaenidae,Caperea,marginata,Caperea marginata,31999999.98,,,0.98,,,,,,,,,,,
Artiodactyla,Bovidae,Capra,caucasica,Capra caucasica,58149.52,,155.0,1.09,,264.0,,,1015.0,,,,,,32781.87
Artiodactyla,Bovidae,Capra,falconeri,Capra falconeri,54303.37,1590.0,167.98,1.73,,168.0,167.29,,1015.0,2,1,1,,,155075.85
Artiodactyla,Bovidae,Capra,hircus,Capra hircus,47386.47,,156.0,1.45,,249.6,158.04,2136.11,498.97,2,,1,98.3,7.58,
Artiodactyla,Bovidae,Capra,ibex,Capra ibex,69546.83,,167.5,1.11,,267.6,111.75,2779.07,838.54,2,1,1,,,145098.13
Erinaceomorpha,Erinaceidae,Atelerix,algirus,Atelerix algirus,903.98,214.76,39.25,2.5,2.0,84.0,39.7,,,3,,2,,,815329.89
Erinaceomorpha,Erinaceidae,Atelerix,frontalis,Atelerix frontalis,329.12,181.82,37.13,4.99,1.5,,34.8,10.55,411.43,6,1,2,,,1497998.13
Primates,Atelidae,Ateles,belzebuth,Ateles belzebuth,6692.42,459.3,138.2,1.02,,336.0,,,,2,1,1,2.28,13.49,1030364.23
Primates,Atelidae,Ateles,chamek,Ateles chamek,7053.92,454.28,,,,,,,,2,1,1,1.16,3.39,990902.31
Primates,Atelidae,Ateles,fusciceps,Ateles fusciceps,9067.94,489.15,224.7,1.01,,288.0,482.7,499.99,1799.68,2,1,1,,,201579.73
Primates,Atelidae,Ateles,geoffroyi,Ateles geoffroyi,7582.4,433.07,226.37,1.01,,327.6,816.35,425.85,2104.57,2,1,1,0.73,19.06,806609.19
Primates,Atelidae,Ateles,marginatus,Ateles marginatus,6229.28,460.27,,,,,,,,2,1,1,,,831855.4
