species,direct_cm,rln_length_cm,body_length_cm,note
mouse,1.5,3,8,"approximate from rodent anatomy"
rat,3,6,20,"approximate from rodent anatomy"
cat,6,15,50,"approximate from standard anatomy texts"
dog,8,18,70,"approximate from standard anatomy texts"
pig,12,30,150,"approximate from veterinary anatomy"
human,12,25,170,"left RLN; right is shorter -- standard human anatomy"
cow,20,50,250,"approximate from veterinary anatomy"
horse,22,50,250,"approximate from veterinary anatomy"
elephant,35,90,600,"approximate; loops under aortic arch low in chest"
giraffe,25,270,500,"Wedel 2012 -- ~2-2.7 m; uses ~25 cm direct path"
