ID,yr,age,sex,cohort,hlM,hlF,Avhb114M,Avhb114F,relLongM,relLongF
id674,1977,10,1,1967,NA,NA,38.9719830570998,NA,1,NA
id674,1978,11,1,1967,NA,NA,38.9121923086044,NA,1,NA
id771,1973,1,1,1972,NA,NA,NA,NA,0.967741935483871,NA
id493,1980,9,0,1971,NA,NA,NA,13.6768066460114,NA,1.66666666666667
id493,1981,10,0,1971,NA,NA,NA,14.3102823116948,NA,1.66666666666667
id493,1979,8,0,1971,NA,NA,NA,13.6234669160824,NA,1.66666666666667
id493,1976,5,0,1971,NA,NA,NA,13.613075612334,NA,1.66666666666667
id493,1978,7,0,1971,NA,NA,NA,13.6499534730494,NA,1.66666666666667
id493,1977,6,0,1971,NA,NA,NA,13.9919061370724,NA,1.66666666666667
id610,1978,3,0,1975,NA,23.3686240058772,NA,13.53802973683,NA,0.964912280701754
id610,1979,4,0,1975,NA,25.3994942048964,NA,13.6415672842174,NA,0.964912280701754
id610,1980,5,0,1975,NA,NA,NA,NA,NA,0.964912280701754
id610,1975,0,0,1975,NA,NA,NA,NA,NA,0.964912280701754
id610,1977,2,0,1975,NA,22.064980404481,NA,13.5434395390357,NA,0.964912280701754
id610,1976,1,0,1975,NA,15.2914929342224,NA,NA,NA,0.964912280701754
id291,1979,2,0,1977,NA,21.5514952094409,NA,13.7593202821949,NA,0.631578947368421
id291,1978,1,0,1977,NA,16.5918590059548,NA,NA,NA,0.631578947368421
id291,1977,0,0,1977,NA,NA,NA,NA,NA,0.631578947368421
id291,1980,3,0,1977,NA,25.0794084047597,NA,13.8174009934175,NA,0.631578947368421
id579,1981,3,1,1978,67.8913556110409,NA,37.555232579617,NA,1.05882352941176,NA
id579,1980,2,1,1978,50.5735130159105,NA,30.4563153197869,NA,1.05882352941176,NA
id579,1978,0,1,1978,NA,NA,NA,NA,1.05882352941176,NA
id579,1979,1,1,1978,NA,NA,NA,NA,1.05882352941176,NA
id90,1982,3,1,1979,69.1871844100693,NA,38.6310517060305,NA,1.63636363636364,NA
id90,1981,2,1,1979,55.0822563519717,NA,33.0510213736543,NA,1.63636363636364,NA
id90,1983,4,1,1979,79.6999155039596,NA,41.3215940900643,NA,1.63636363636364,NA
id90,1985,6,1,1979,NA,NA,42.521706736582,NA,1.63636363636364,NA
id90,1979,0,1,1979,NA,NA,NA,NA,1.63636363636364,NA
id90,1984,5,1,1979,NA,NA,44.6672628379801,NA,1.63636363636364,NA
id90,1980,1,1,1979,NA,NA,NA,NA,1.63636363636364,NA
id592,1981,1,1,1980,24.8122135016673,NA,NA,NA,0.272727272727273,NA
id592,1980,0,1,1980,NA,NA,NA,NA,0.272727272727273,NA
id751,1992,11,0,1981,NA,NA,NA,15.3068317068089,NA,1.31506849315068
id751,1984,3,0,1981,NA,24.9289783738658,NA,14.9695856522273,NA,1.31506849315068
id751,1983,2,0,1981,NA,22.1974905534669,NA,14.035773204219,NA,1.31506849315068
id751,1985,4,0,1981,NA,26.7327662892823,NA,15.1129005292143,NA,1.31506849315068
id751,1989,8,0,1981,NA,NA,NA,14.709353956215,NA,1.31506849315068
id751,1986,5,0,1981,NA,NA,NA,15.5801337692857,NA,1.31506849315068
id751,1987,6,0,1981,NA,NA,NA,14.7993822939452,NA,1.31506849315068
id751,1991,10,0,1981,NA,NA,NA,13.8993896079904,NA,1.31506849315068
id751,1990,9,0,1981,NA,NA,NA,13.8868434445364,NA,1.31506849315068
id751,1981,0,0,1981,NA,NA,NA,NA,NA,1.31506849315068
id751,1993,12,0,1981,NA,NA,NA,14.9546974596518,NA,1.31506849315068
id751,1988,7,0,1981,NA,NA,NA,14.2497269599773,NA,1.31506849315068
id751,1982,1,0,1981,NA,15.3599577193799,NA,NA,NA,1.31506849315068
id464,1982,0,1,1982,NA,NA,NA,NA,0.891891891891892,NA
id464,1984,2,1,1982,45.3303901981329,NA,29.3232710608334,NA,0.891891891891892,NA
id464,1983,1,1,1982,25.3553358833391,NA,NA,NA,0.891891891891892,NA
id464,1985,3,1,1982,58.5177056005087,NA,33.3851831195584,NA,0.891891891891892,NA
id760,1986,3,1,1983,59.0689417425409,NA,37.8473406079076,NA,1.86666666666667,NA
id760,1989,6,1,1983,NA,NA,40.1462988145358,NA,1.86666666666667,NA
id760,1988,5,1,1983,NA,NA,44.9226917253938,NA,1.86666666666667,NA
id760,1984,1,1,1983,23.8828634848345,NA,NA,NA,1.86666666666667,NA
id760,1983,0,1,1983,NA,NA,NA,NA,1.86666666666667,NA
id760,1987,4,1,1983,70.8414513110417,NA,41.7301580126521,NA,1.86666666666667,NA
id760,1985,2,1,1983,40.295331448389,NA,28.391227479441,NA,1.86666666666667,NA
id966,1992,8,0,1984,NA,NA,NA,13.8254749543488,NA,1.40659340659341
id966,1986,2,0,1984,NA,23.1831043512569,NA,14.4904595134005,NA,1.40659340659341
id966,1990,6,0,1984,NA,NA,NA,13.4869792989072,NA,1.40659340659341
id966,1988,4,0,1984,NA,29.925314250437,NA,12.9300198751787,NA,1.40659340659341
id966,1984,0,0,1984,NA,NA,NA,NA,NA,1.40659340659341
id966,1991,7,0,1984,NA,NA,NA,12.4079883578576,NA,1.40659340659341
id966,1985,1,0,1984,NA,17.0723903327462,NA,NA,NA,1.40659340659341
id966,1989,5,0,1984,NA,NA,NA,13.509353956215,NA,1.40659340659341
id966,1987,3,0,1984,NA,27.4352644110653,NA,13.0862801457525,NA,1.40659340659341
id449,1985,0,1,1985,NA,NA,NA,NA,0,NA
id60,1986,0,0,1986,NA,NA,NA,NA,NA,0
id266,1988,1,1,1987,26.6402062550565,NA,NA,NA,1.33720930232558,NA
id266,1990,3,1,1987,57.9413814605357,NA,34.0106672900907,NA,1.33720930232558,NA
id266,1989,2,1,1987,43.451416404659,NA,27.792263960971,NA,1.33720930232558,NA
id266,1992,5,1,1987,NA,NA,39.0236629862032,NA,1.33720930232558,NA
id266,1987,0,1,1987,NA,NA,NA,NA,1.33720930232558,NA
id266,1991,4,1,1987,68.2676224477062,NA,36.7622189409863,NA,1.33720930232558,NA
id637,1995,7,0,1988,NA,NA,NA,13.8856661962784,NA,1.85714285714286
id637,1997,9,0,1988,NA,NA,NA,13.342781328067,NA,1.85714285714286
id637,1998,10,0,1988,NA,NA,NA,13.5441618022216,NA,1.85714285714286
id637,2001,13,0,1988,NA,NA,NA,13.4279219141814,NA,1.85714285714286
id637,1992,4,0,1988,NA,26.1106023492653,NA,14.4151766949315,NA,1.85714285714286
id637,2000,12,0,1988,NA,NA,NA,13.0399470012228,NA,1.85714285714286
id637,1988,0,0,1988,NA,NA,NA,NA,NA,1.85714285714286
id637,1996,8,0,1988,NA,NA,NA,13.6298979459979,NA,1.85714285714286
id637,1991,3,0,1988,NA,23.669355979474,NA,14.1943357767906,NA,1.85714285714286
id637,1990,2,0,1988,NA,19.9623234765025,NA,13.3919089909914,NA,1.85714285714286
id637,1993,5,0,1988,NA,NA,NA,14.3447407569184,NA,1.85714285714286
id637,1989,1,0,1988,NA,13.5895685177282,NA,NA,NA,1.85714285714286
id637,1994,6,0,1988,NA,NA,NA,13.9691705373572,NA,1.85714285714286
id637,1999,11,0,1988,NA,NA,NA,13.1393813966739,NA,1.85714285714286
id1009,1989,0,1,1989,NA,NA,NA,NA,0,NA
id75,1990,0,0,1990,NA,NA,NA,NA,NA,0
id206,1991,0,1,1991,NA,NA,NA,NA,0,NA
id332,1992,0,0,1992,NA,NA,NA,NA,NA,0
id985,1993,0,0,1993,NA,NA,NA,NA,NA,0
id899,2000,6,1,1994,NA,NA,40.5225788324122,NA,5.44444444444444,NA
id899,2001,7,1,1994,NA,NA,42.6544666240679,NA,5.44444444444444,NA
id899,1999,5,1,1994,NA,NA,36.8010031249202,NA,5.44444444444444,NA
id899,1994,0,1,1994,NA,NA,NA,NA,5.44444444444444,NA
id899,1998,4,1,1994,55.0889693428962,NA,35.3955704519076,NA,5.44444444444444,NA
id899,1996,2,1,1994,33.3152290905081,NA,25.764567302415,NA,5.44444444444444,NA
id899,1995,1,1,1994,19.6023719721901,NA,NA,NA,5.44444444444444,NA
id899,1997,3,1,1994,47.0315235480358,NA,29.0165306879269,NA,5.44444444444444,NA
id7,1975,6,0,1969,NA,NA,NA,NA,NA,0.857142857142857
id377,1975,5,1,1970,NA,NA,NA,NA,0.8,NA
id365,1975,4,1,1971,NA,NA,NA,NA,0.695652173913043,NA
id267,1974,0,1,1974,NA,NA,NA,NA,0,NA
id357,1992,17,0,1975,NA,NA,NA,13.7330145254864,NA,3.28070175438596
id357,1986,11,0,1975,NA,NA,NA,14.1604493781708,NA,3.28070175438596
id357,1988,13,0,1975,NA,NA,NA,12.4394241680579,NA,3.28070175438596
id357,1985,10,0,1975,NA,NA,NA,13.8277220481022,NA,3.28070175438596
id357,1984,9,0,1975,NA,NA,NA,13.6894731974938,NA,3.28070175438596
id357,1981,6,0,1975,NA,NA,NA,13.8916558508147,NA,3.28070175438596
id357,1977,2,0,1975,NA,17.9736272860615,NA,13.4543638049499,NA,3.28070175438596
id357,1990,15,0,1975,NA,NA,NA,13.3151681392206,NA,3.28070175438596
id357,1989,14,0,1975,NA,NA,NA,NA,NA,3.28070175438596
id357,1982,7,0,1975,NA,NA,NA,12.988761658037,NA,3.28070175438596
id357,1980,5,0,1975,NA,NA,NA,13.7764300756666,NA,3.28070175438596
