param,mean,median,0.950_CI_LB,0.950_CI_UB
beta_loc_0_pop_0,0.721129,0.720747,0.355249,1.096244
beta_loc_1_pop_0,0.934659,0.912004,0.611805,1.371606
beta_loc_2_pop_0,0.960150,0.934166,0.630211,1.451056
beta_loc_3_pop_0,0.630770,0.620471,0.350755,0.970633
beta_loc_4_pop_0,0.460768,0.468492,0.159369,0.724353
beta_loc_5_pop_0,-0.141475,-0.127459,-0.545274,0.184292
beta_loc_6_pop_0,0.626016,0.615769,0.340320,0.965232
beta_loc_7_pop_0,0.966285,0.938615,0.635650,1.450839
beta_loc_8_pop_0,1.038619,1.015206,0.674248,1.514360
beta_loc_9_pop_0,0.793155,0.767176,0.358522,1.358515
beta_loc_10_pop_0,0.886202,0.882057,0.612736,1.176402
beta_loc_11_pop_0,0.161303,0.172712,-0.157840,0.424542
beta_loc_12_pop_0,0.620650,0.610061,0.331058,0.958955
beta_loc_13_pop_0,0.815632,0.790812,0.481024,1.332294
beta_loc_14_pop_0,0.445643,0.454145,0.162403,0.679066
beta_loc_15_pop_0,0.528548,0.535211,0.245799,0.777538
beta_loc_16_pop_0,0.503224,0.512928,0.223649,0.724463
beta_loc_17_pop_0,-0.541596,-0.536363,-0.976341,-0.132038
beta_loc_18_pop_0,-0.180938,-0.173358,-0.696993,0.285643
beta_loc_19_pop_0,0.343297,0.354103,0.058203,0.563742
beta_loc_20_pop_0,0.188746,0.175289,-0.455823,0.907559
beta_loc_21_pop_0,-0.017958,-0.013998,-0.418150,0.361873
beta_loc_22_pop_0,-1.187043,-1.199130,-1.893955,-0.453882
beta_loc_23_pop_0,-0.468463,-0.456204,-1.112215,0.129405
beta_loc_24_pop_0,0.103720,0.107752,-0.472158,0.660796
beta_loc_25_pop_0,0.207613,0.215543,-0.477735,0.867036
beta_loc_26_pop_0,0.186246,0.187433,-0.170796,0.538663
beta_loc_27_pop_0,-0.097156,-0.081981,-0.458832,0.190851
beta_loc_28_pop_0,0.233547,0.245238,-0.083822,0.488879
beta_loc_29_pop_0,-0.359746,-0.347903,-0.791515,0.002902
beta_loc_30_pop_0,0.410379,0.422100,0.121799,0.634915
beta_loc_31_pop_0,-1.283073,-1.275926,-2.051077,-0.555275
beta_loc_32_pop_0,0.042467,0.054678,-0.386653,0.410333
beta_loc_33_pop_0,-0.024013,-0.016022,-0.433832,0.341445
beta_loc_34_pop_0,-0.520724,-0.509040,-0.959699,-0.141504
beta_loc_35_pop_0,-0.526618,-0.511801,-1.053714,-0.074258
beta_loc_36_pop_0,0.409963,0.407256,0.015312,0.807686
beta_loc_37_pop_0,-0.284229,-0.270809,-0.798765,0.148649
beta_loc_38_pop_0,-0.703650,-0.694542,-1.412352,-0.059508
beta_loc_39_pop_0,-0.138184,-0.131473,-0.586320,0.282085
beta_loc_40_pop_0,-0.227179,-0.223810,-0.702281,0.222969
beta_loc_41_pop_0,0.243961,0.253180,-0.052898,0.490787
beta_loc_42_pop_0,0.078084,0.084340,-0.307595,0.448072
beta_loc_43_pop_0,-0.170503,-0.159134,-0.864501,0.460866
beta_loc_44_pop_0,-0.142408,-0.140963,-0.691442,0.400793
beta_loc_45_pop_0,0.163578,0.153108,-0.585893,1.037532
beta_loc_46_pop_0,-1.114744,-1.106912,-1.813625,-0.459284
beta_loc_47_pop_0,0.171206,0.178387,-0.178762,0.483174
beta_loc_48_pop_0,0.111224,0.120304,-0.259058,0.427056
beta_loc_49_pop_0,0.152655,0.143411,-0.605994,0.951195
beta_loc_50_pop_0,-0.198713,-0.192392,-0.678078,0.234593
beta_loc_51_pop_0,-0.385632,-0.374494,-0.841836,0.000044
beta_loc_52_pop_0,0.339760,0.337629,-0.034930,0.739518
beta_loc_53_pop_0,0.069877,0.085964,-0.564537,0.616038
beta_loc_54_pop_0,0.444349,0.438849,-0.000334,0.913746
beta_loc_55_pop_0,0.613866,0.597933,0.085342,1.215642
beta_loc_56_pop_0,0.635914,0.632818,-0.030981,1.362374
beta_loc_57_pop_0,-0.085224,-0.074480,-1.079422,0.844448
beta_loc_58_pop_0,-0.331994,-0.329316,-0.932239,0.276638
beta_loc_59_pop_0,0.447804,0.433947,-0.221289,1.250064
beta_loc_60_pop_0,-0.370570,-0.366626,-0.947205,0.180670
beta_loc_61_pop_0,-0.533386,-0.497846,-1.772090,0.463285
beta_loc_62_pop_0,-0.340098,-0.320679,-0.934147,0.144358
beta_loc_63_pop_0,-0.428973,-0.418935,-1.119556,0.167500
beta_loc_64_pop_0,0.125299,0.125886,-0.411936,0.682242
beta_loc_65_pop_0,-1.441455,-1.429730,-2.432469,-0.501702
beta_loc_66_pop_0,-0.345686,-0.343735,-0.977037,0.279038
beta_loc_67_pop_0,-0.837760,-0.832493,-1.609206,-0.126453
beta_loc_68_pop_0,-0.719958,-0.701716,-1.739911,0.202975
beta_loc_69_pop_0,-0.223509,-0.233953,-1.082263,0.690875
beta_loc_70_pop_0,-0.270927,-0.261363,-0.762932,0.150333
beta_loc_71_pop_0,0.113923,0.113703,-0.724573,0.913403
beta_loc_72_pop_0,-0.258497,-0.249428,-0.848308,0.274257
beta_loc_73_pop_0,-0.979900,-0.977454,-1.617041,-0.375002
beta_loc_74_pop_0,-0.727122,-0.697267,-1.739091,0.079499
beta_loc_75_pop_0,-0.416534,-0.410953,-0.989562,0.138260
beta_loc_76_pop_0,0.095405,0.111984,-0.395677,0.505998
