param,mean,median,0.950_CI_LB,0.950_CI_UB
beta_loc_0_pop_0,0.686008,0.684359,0.315512,1.060638
beta_loc_1_pop_0,0.759954,0.750444,0.366076,1.195574
beta_loc_2_pop_0,0.188256,0.208595,-0.230610,0.495308
beta_loc_3_pop_0,0.067505,0.089911,-0.425814,0.414614
beta_loc_4_pop_0,-0.860783,-0.865396,-1.499686,-0.249112
beta_loc_5_pop_0,0.272000,0.293386,-0.177694,0.596849
beta_loc_6_pop_0,0.690691,0.683647,0.324555,1.099026
beta_loc_7_pop_0,0.759861,0.755683,0.370282,1.175660
beta_loc_8_pop_0,0.278039,0.303960,-0.295770,0.729927
beta_loc_9_pop_0,0.698660,0.695328,0.350266,1.054510
beta_loc_10_pop_0,-0.367684,-0.350198,-0.941302,0.095296
beta_loc_11_pop_0,0.209953,0.228277,-0.223375,0.543717
beta_loc_12_pop_0,0.529862,0.530872,0.152223,0.910898
beta_loc_13_pop_0,0.206880,0.218375,-0.183866,0.530447
beta_loc_14_pop_0,0.226178,0.235553,-0.201665,0.594000
beta_loc_15_pop_0,0.173267,0.187145,-0.238900,0.499288
beta_loc_16_pop_0,-1.279861,-1.271269,-1.851889,-0.745466
beta_loc_17_pop_0,-1.153973,-1.153601,-1.806349,-0.501353
beta_loc_18_pop_0,-0.139329,-0.124192,-0.610294,0.233958
beta_loc_19_pop_0,-1.064628,-1.042710,-2.024999,-0.193665
beta_loc_20_pop_0,-0.880858,-0.891763,-1.523015,-0.243144
