param,mean,median,0.950_CI_LB,0.950_CI_UB
beta_loc_0_pop_0,-0.873734,-0.865368,-1.555379,-0.258257
beta_loc_1_pop_0,0.068321,0.077717,-0.495598,0.593583
beta_loc_2_pop_0,0.357551,0.363774,-0.158535,0.838570
beta_loc_3_pop_0,0.412629,0.420009,-0.158461,0.971101
beta_loc_4_pop_0,0.381198,0.367038,0.061687,0.793035
beta_loc_5_pop_0,0.156084,0.166368,-0.135314,0.402380
beta_loc_6_pop_0,0.458940,0.469788,0.195191,0.671080
beta_loc_7_pop_0,-0.099273,-0.091614,-0.440453,0.198028
beta_loc_8_pop_0,0.648571,0.653668,0.395111,0.870429
beta_loc_9_pop_0,-1.212682,-1.217276,-1.878500,-0.539847
beta_loc_10_pop_0,0.272341,0.269831,-0.122830,0.688174
beta_loc_11_pop_0,0.098128,0.101554,-0.245003,0.417552
beta_loc_12_pop_0,-0.249833,-0.239275,-0.615793,0.056872
beta_loc_13_pop_0,-0.266206,-0.251785,-0.729332,0.130786
beta_loc_14_pop_0,0.451706,0.453201,0.110670,0.783304
beta_loc_15_pop_0,-0.059194,-0.052578,-0.469048,0.324302
beta_loc_16_pop_0,-0.423109,-0.417069,-1.023281,0.156835
beta_loc_17_pop_0,0.214265,0.219448,-0.200788,0.609554
beta_loc_18_pop_0,0.051315,0.055965,-0.393039,0.476817
beta_loc_19_pop_0,0.420428,0.424689,0.147929,0.667516
beta_loc_20_pop_0,0.288279,0.291082,-0.059302,0.625669
beta_loc_21_pop_0,0.009168,0.011650,-0.532151,0.523186
beta_loc_22_pop_0,-0.044585,-0.030177,-0.584293,0.415015
beta_loc_23_pop_0,0.164164,0.159116,-0.558468,0.915337
beta_loc_24_pop_0,-0.544267,-0.528347,-1.146056,-0.014592
beta_loc_25_pop_0,0.350631,0.353972,0.017703,0.666238
beta_loc_26_pop_0,0.289710,0.298810,-0.031925,0.574498
beta_loc_27_pop_0,0.196689,0.185366,-0.448133,0.897787
beta_loc_28_pop_0,0.073850,0.081981,-0.362301,0.474383
beta_loc_29_pop_0,-0.078479,-0.069390,-0.428164,0.222556
beta_loc_30_pop_0,0.481960,0.479198,0.155016,0.825476
beta_loc_31_pop_0,0.215633,0.223610,-0.387929,0.809362
beta_loc_32_pop_0,0.607795,0.587876,0.225641,1.096342
beta_loc_33_pop_0,0.768399,0.751529,0.327485,1.307409
beta_loc_34_pop_0,0.717770,0.714331,0.096436,1.373836
beta_loc_35_pop_0,-0.029334,-0.026925,-0.801771,0.712941
beta_loc_36_pop_0,-0.166246,-0.164153,-0.757300,0.417798
beta_loc_37_pop_0,0.470892,0.474135,-0.135423,1.070995
beta_loc_38_pop_0,-0.067969,-0.058325,-0.577521,0.393086
beta_loc_39_pop_0,-0.339012,-0.315572,-1.348342,0.542536
beta_loc_40_pop_0,0.061467,0.073240,-0.466147,0.526946
beta_loc_41_pop_0,-0.077246,-0.077065,-0.579274,0.429263
beta_loc_42_pop_0,0.225616,0.225458,-0.264217,0.720571
beta_loc_43_pop_0,-0.959038,-0.941081,-1.806495,-0.211970
beta_loc_44_pop_0,-0.085228,-0.099238,-0.662929,0.565925
beta_loc_45_pop_0,-0.892524,-0.879443,-1.567551,-0.272965
beta_loc_46_pop_0,-0.809545,-0.798479,-1.752728,0.088275
beta_loc_47_pop_0,-0.039613,-0.047947,-0.730153,0.701253
beta_loc_48_pop_0,-0.037713,-0.026893,-0.459386,0.319668
beta_loc_49_pop_0,-0.000709,0.020031,-0.707474,0.590521
beta_loc_50_pop_0,-0.147002,-0.138717,-0.662660,0.336774
beta_loc_51_pop_0,-0.695143,-0.689185,-1.241030,-0.176200
beta_loc_52_pop_0,-0.833293,-0.827983,-1.613315,-0.109728
beta_loc_53_pop_0,-0.172478,-0.164922,-0.663425,0.285422
beta_loc_54_pop_0,0.289955,0.297862,-0.149020,0.691198
