param,mean,median,0.950_CI_LB,0.950_CI_UB
hi_param_0,0.621801,0.622629,0.543370,0.698386
hi_param_1,0.959191,0.963350,0.897416,0.997231
hi_param_2,0.965273,0.968692,0.916465,0.994891
hi_param_3,0.974831,0.979433,0.924213,0.998812
hi_param_4,0.934910,0.938250,0.868198,0.984006
hi_param_5,0.974029,0.978743,0.924532,0.998472
hi_param_6,0.980953,0.984682,0.941303,0.999004
hi_param_7,0.972441,0.976795,0.921109,0.999032
hi_param_8,0.942762,0.945994,0.880823,0.986718
hi_param_9,0.963291,0.966378,0.913730,0.994690
hi_param_10,0.984702,0.989276,0.944549,0.999560
hi_param_11,0.988529,0.992051,0.958398,0.999671
hi_param_12,0.929902,0.932839,0.861421,0.981214
hi_param_13,0.981413,0.985446,0.940499,0.999382
hi_param_14,0.859255,0.860991,0.791954,0.917477
hi_param_15,0.988560,0.991968,0.958672,0.999736
hi_param_16,0.974971,0.979215,0.926709,0.998730
hi_param_17,0.968090,0.972376,0.912924,0.998595
hi_param_18,0.962624,0.967647,0.900035,0.997694
hi_param_19,0.967935,0.971592,0.916619,0.997672
hi_param_20,0.963928,0.967567,0.910446,0.996522
hi_param_21,0.979847,0.983690,0.939268,0.998911
hi_param_22,0.984335,0.988712,0.945758,0.999601
hi_param_23,0.965963,0.970000,0.914473,0.996734
hi_param_24,0.968918,0.972637,0.920183,0.997090
hi_param_25,0.941130,0.944016,0.879117,0.985217
hi_param_26,0.961094,0.965138,0.906417,0.994665
hi_param_27,0.935432,0.939072,0.863185,0.988212
hi_param_28,0.975195,0.979140,0.928411,0.998741
hi_param_29,0.852246,0.853943,0.776521,0.919557
hi_param_30,0.971069,0.975089,0.922421,0.997917
hi_param_31,0.974148,0.978457,0.925708,0.998856
hi_param_32,0.978693,0.983272,0.933018,0.999294
hi_param_33,0.982075,0.986530,0.941366,0.999341
hi_param_34,0.973151,0.977063,0.927260,0.998135
hi_param_35,0.971736,0.975930,0.921766,0.998168
hi_param_36,0.976830,0.981950,0.925865,0.999139
hi_param_37,0.953610,0.957702,0.887556,0.995589
hi_param_38,0.962612,0.966330,0.906844,0.996953
hi_param_39,0.972179,0.976708,0.919339,0.998843
hi_param_40,0.981294,0.985511,0.939351,0.999360
hi_param_41,0.950190,0.954127,0.887518,0.991288
hi_param_42,0.894863,0.897299,0.818078,0.958646
hi_param_43,0.784472,0.786068,0.710191,0.852541
hi_param_44,0.974307,0.977899,0.928478,0.998188
hi_param_45,0.943752,0.946755,0.878610,0.990663
hi_param_46,0.978667,0.983066,0.933868,0.999336
hi_param_47,0.984944,0.989089,0.947970,0.999573
hi_param_48,0.936781,0.939801,0.873346,0.982400
hi_param_49,0.977229,0.980874,0.935795,0.998660
hi_param_50,0.952971,0.956699,0.887615,0.995551
hi_param_51,0.976955,0.981400,0.930353,0.999060
hi_param_52,0.962592,0.966871,0.907457,0.995412
hi_param_53,0.937983,0.940696,0.870994,0.987064
hi_param_54,0.940917,0.943934,0.875273,0.989147
hi_param_55,0.974326,0.978442,0.928050,0.998065
hi_param_56,0.969695,0.973521,0.919764,0.997774
hi_param_57,0.988687,0.992124,0.959391,0.999721
hi_param_58,0.933649,0.936716,0.869559,0.979566
hi_param_59,0.985099,0.989300,0.948430,0.999606
hi_param_60,0.971661,0.976502,0.918403,0.998901
hi_param_61,0.964037,0.968092,0.908285,0.995823
hi_param_62,0.978246,0.982563,0.932497,0.999256
hi_param_63,0.932716,0.936018,0.865196,0.982824
hi_param_64,0.972180,0.976492,0.922476,0.998727
hi_param_65,0.961878,0.965508,0.912042,0.991938
hi_param_66,0.930548,0.933092,0.867494,0.977546
hi_param_67,0.915875,0.918719,0.846752,0.969600
hi_param_68,0.977820,0.981154,0.938086,0.998493
hi_param_69,0.960238,0.964275,0.900365,0.996743
hi_param_70,0.984388,0.989157,0.945446,0.999456
hi_param_71,0.978307,0.982501,0.933708,0.999113
hi_param_72,0.968982,0.973139,0.917416,0.997574
hi_param_73,0.967337,0.971803,0.912356,0.997286
hi_param_74,0.956623,0.960210,0.895498,0.996524
hi_param_75,0.971053,0.976053,0.914975,0.998794
hi_param_76,0.972380,0.975966,0.927500,0.997354
hi_param_77,0.909609,0.911767,0.837240,0.969392
hi_param_78,0.977932,0.983113,0.928737,0.999335
hi_param_79,0.978258,0.982448,0.934167,0.999103
hi_param_80,0.961881,0.966241,0.905715,0.994614
hi_param_81,0.946414,0.949870,0.884382,0.989161
hi_param_82,0.939926,0.943133,0.876517,0.984856
hi_param_83,0.984066,0.988302,0.944536,0.999574
hi_param_84,0.968693,0.972836,0.917350,0.997213
hi_param_85,0.871802,0.873559,0.791083,0.940807
hi_param_86,0.981860,0.986577,0.938646,0.999412
hi_param_87,0.129132,0.127725,0.057048,0.210814
hi_param_88,0.329876,0.328684,0.266627,0.400259
hi_param_89,0.460757,0.460555,0.384106,0.537476
hi_param_90,0.164282,0.163990,0.083432,0.248242
hi_param_91,0.138119,0.137568,0.059858,0.220691
hi_param_92,0.352357,0.351788,0.282524,0.424832
hi_param_93,0.154035,0.152485,0.067402,0.247743
hi_param_94,0.190788,0.190422,0.111640,0.272667
hi_param_95,0.144435,0.143831,0.061239,0.230567
hi_param_96,0.128097,0.126870,0.040507,0.220624
hi_param_97,0.461793,0.461077,0.385097,0.541041
hi_param_98,0.126376,0.123873,0.056046,0.208518
hi_param_99,0.143096,0.142118,0.065941,0.226007
hi_param_100,0.183977,0.183663,0.106666,0.262756
hi_param_101,0.168816,0.168572,0.087703,0.254093
hi_param_102,0.197127,0.197041,0.116062,0.281517
hi_param_103,0.115219,0.114047,0.035660,0.202041
hi_param_104,0.070586,0.066770,0.011987,0.151828
hi_param_105,0.219725,0.219156,0.139386,0.301773
hi_param_106,0.193387,0.192678,0.114389,0.276813
hi_param_107,0.126224,0.124437,0.046589,0.214852
