param,mean,median,0.950_CI_LB,0.950_CI_UB
gamma-quantile_param_0,0.054915,0.043635,0.002643,0.168898
gamma-quantile_param_1,0.457355,0.441750,0.209813,0.772784
gamma-quantile_param_2,0.399779,0.381674,0.159314,0.734172
gamma-quantile_param_3,0.634973,0.634875,0.383570,0.878077
gamma-quantile_param_4,0.295406,0.289178,0.085028,0.541545
gamma-quantile_param_5,0.827334,0.849889,0.561837,0.968891
gamma-quantile_param_6,0.675382,0.677980,0.430832,0.902435
gamma-quantile_param_7,0.393477,0.381535,0.150345,0.698307
gamma-quantile_param_8,0.361269,0.344245,0.132912,0.682809
gamma-quantile_param_9,0.458833,0.456572,0.131504,0.802190
gamma-quantile_param_10,0.267326,0.259675,0.096531,0.482060
gamma-quantile_param_11,0.799616,0.817314,0.554556,0.951221
gamma-quantile_param_12,0.691300,0.694165,0.447159,0.908985
gamma-quantile_param_13,0.150872,0.134135,0.028727,0.377701
gamma-quantile_param_14,0.171751,0.165173,0.043953,0.336482
gamma-quantile_param_15,0.152505,0.145918,0.037878,0.306807
gamma-quantile_param_16,0.191969,0.185753,0.057853,0.359120
gamma-quantile_param_17,0.378737,0.365860,0.091636,0.729685
gamma-quantile_param_18,0.777480,0.809861,0.405032,0.972346
gamma-quantile_param_19,0.489977,0.494915,0.226045,0.721385
gamma-quantile_param_20,0.284553,0.255836,0.020859,0.704652
gamma-quantile_param_21,0.928652,0.946840,0.758230,0.994901
gamma-quantile_param_22,0.283997,0.245094,0.018290,0.747848
gamma-quantile_param_23,0.425812,0.414986,0.055894,0.844655
gamma-quantile_param_24,0.516650,0.527784,0.109301,0.892944
gamma-quantile_param_25,0.361408,0.333164,0.029698,0.823269
gamma-quantile_param_26,0.892883,0.909107,0.700117,0.987568
gamma-quantile_param_27,0.742870,0.761364,0.453224,0.930036
gamma-quantile_param_28,0.485579,0.489445,0.227781,0.731045
gamma-quantile_param_29,0.873500,0.896102,0.641845,0.983347
gamma-quantile_param_30,0.306033,0.303202,0.110310,0.516687
gamma-quantile_param_31,0.475189,0.467191,0.064207,0.911130
gamma-quantile_param_32,0.828808,0.856384,0.527034,0.976504
gamma-quantile_param_33,0.214545,0.194719,0.033065,0.508666
gamma-quantile_param_34,0.838184,0.865046,0.550288,0.978481
gamma-quantile_param_35,0.766008,0.798886,0.384685,0.969948
gamma-quantile_param_36,0.757694,0.776594,0.434392,0.960116
gamma-quantile_param_37,0.469621,0.467755,0.124876,0.818869
gamma-quantile_param_38,0.566957,0.584228,0.116168,0.943341
gamma-quantile_param_39,0.245535,0.218630,0.034601,0.598902
gamma-quantile_param_40,0.151619,0.122052,0.012461,0.447859
gamma-quantile_param_41,0.284839,0.276579,0.088881,0.529089
gamma-quantile_param_42,0.717351,0.733422,0.405728,0.936628
gamma-quantile_param_43,0.817583,0.863565,0.388414,0.991561
gamma-quantile_param_44,0.493774,0.496032,0.101213,0.889993
gamma-quantile_param_45,0.222472,0.158646,0.004897,0.740390
gamma-quantile_param_46,0.770093,0.819749,0.313992,0.986229
gamma-quantile_param_47,0.214611,0.202215,0.043057,0.460178
gamma-quantile_param_48,0.442214,0.440636,0.143278,0.748719
gamma-quantile_param_49,0.595668,0.623392,0.100120,0.961554
gamma-quantile_param_50,0.551614,0.563301,0.165914,0.881211
gamma-quantile_param_51,0.758185,0.784944,0.414730,0.954936
gamma-quantile_param_52,0.690209,0.703726,0.368219,0.933525
gamma-quantile_param_53,0.165884,0.125244,0.007614,0.538590
gamma-quantile_param_54,0.735060,0.759876,0.374185,0.959049
gamma-quantile_param_55,0.400102,0.386886,0.051101,0.815163
gamma-quantile_param_56,0.443689,0.430407,0.055395,0.886392
gamma-quantile_param_57,0.552682,0.574149,0.063495,0.967485
gamma-quantile_param_58,0.111985,0.073852,0.002805,0.416240
gamma-quantile_param_59,0.260282,0.216397,0.015541,0.746836
gamma-quantile_param_60,0.516830,0.519342,0.123149,0.894188
gamma-quantile_param_61,0.405600,0.374235,0.017490,0.922185
gamma-quantile_param_62,0.818345,0.861162,0.430645,0.987216
gamma-quantile_param_63,0.727299,0.768022,0.277593,0.976392
gamma-quantile_param_64,0.492282,0.489453,0.126623,0.877380
gamma-quantile_param_65,0.948352,0.984229,0.679430,0.999911
gamma-quantile_param_66,0.842148,0.891505,0.432579,0.994834
gamma-quantile_param_67,0.288338,0.243771,0.014842,0.770217
gamma-quantile_param_68,0.092575,0.038057,0.000257,0.494640
gamma-quantile_param_69,0.202982,0.153578,0.004605,0.663634
gamma-quantile_param_70,0.544966,0.551901,0.170583,0.876812
gamma-quantile_param_71,0.479846,0.472190,0.049346,0.944341
gamma-quantile_param_72,0.416141,0.405031,0.068899,0.825200
gamma-quantile_param_73,0.702656,0.741579,0.242658,0.973390
gamma-quantile_param_74,0.759132,0.822619,0.227845,0.994949
gamma-quantile_param_75,0.204885,0.170781,0.017075,0.575893
gamma-quantile_param_76,0.703982,0.730089,0.339212,0.943854
