param,mean,median,0.950_CI_LB,0.950_CI_UB
zeta-quantile_param_0,0.868063,0.877147,0.714093,0.968099
zeta-quantile_param_1,0.925469,0.930678,0.831283,0.988403
zeta-quantile_param_2,0.930426,0.936178,0.840435,0.990386
zeta-quantile_param_3,0.839425,0.842435,0.713002,0.946618
zeta-quantile_param_4,0.767022,0.774630,0.601670,0.889519
zeta-quantile_param_5,0.413201,0.418697,0.182903,0.615599
zeta-quantile_param_6,0.837159,0.840353,0.705361,0.946126
zeta-quantile_param_7,0.931253,0.937032,0.839153,0.991346
zeta-quantile_param_8,0.944156,0.950858,0.857089,0.992982
zeta-quantile_param_9,0.883868,0.893967,0.719791,0.986451
zeta-quantile_param_10,0.918409,0.923392,0.830539,0.977637
zeta-quantile_param_11,0.600556,0.609454,0.394706,0.760798
zeta-quantile_param_12,0.835089,0.839422,0.702877,0.943003
zeta-quantile_param_13,0.895512,0.900259,0.779214,0.984437
zeta-quantile_param_14,0.760440,0.767280,0.603508,0.875049
zeta-quantile_param_15,0.798826,0.805599,0.653518,0.906898
zeta-quantile_param_16,0.787985,0.794904,0.641752,0.892579
zeta-quantile_param_17,0.203562,0.192500,0.052044,0.416915
zeta-quantile_param_18,0.393313,0.389153,0.123123,0.679710
zeta-quantile_param_19,0.707524,0.716144,0.537374,0.830453
zeta-quantile_param_20,0.604231,0.612706,0.228029,0.930869
zeta-quantile_param_21,0.488356,0.491071,0.240336,0.720943
zeta-quantile_param_22,0.049589,0.026673,0.001163,0.223674
zeta-quantile_param_23,0.249485,0.229865,0.035741,0.583995
zeta-quantile_param_24,0.559843,0.569249,0.212229,0.857850
zeta-quantile_param_25,0.616344,0.636037,0.218343,0.918696
zeta-quantile_param_26,0.614322,0.619113,0.388010,0.812842
zeta-quantile_param_27,0.439798,0.447262,0.220775,0.623323
zeta-quantile_param_28,0.643810,0.653246,0.444320,0.791813
zeta-quantile_param_29,0.289650,0.286354,0.096654,0.501754
zeta-quantile_param_30,0.742687,0.750729,0.577758,0.862430
zeta-quantile_param_31,0.037318,0.019715,0.000617,0.179737
zeta-quantile_param_32,0.526537,0.534994,0.257495,0.748769
zeta-quantile_param_33,0.485018,0.489736,0.236190,0.712257
zeta-quantile_param_34,0.212685,0.206121,0.055057,0.410422
zeta-quantile_param_35,0.214482,0.202806,0.039772,0.453072
zeta-quantile_param_36,0.736318,0.744107,0.509551,0.905817
zeta-quantile_param_37,0.334303,0.331052,0.091314,0.595418
zeta-quantile_param_38,0.159366,0.131188,0.010806,0.462144
zeta-quantile_param_39,0.416302,0.416880,0.165057,0.676822
zeta-quantile_param_40,0.365573,0.358265,0.119043,0.641373
zeta-quantile_param_41,0.650600,0.658211,0.465623,0.793226
zeta-quantile_param_42,0.547736,0.554440,0.308587,0.765343
zeta-quantile_param_43,0.403714,0.398802,0.076015,0.771760
zeta-quantile_param_44,0.417352,0.410437,0.130359,0.740246
zeta-quantile_param_45,0.582936,0.597764,0.161172,0.948101
zeta-quantile_param_46,0.057165,0.037235,0.001470,0.224886
zeta-quantile_param_47,0.605844,0.613018,0.382935,0.788023
zeta-quantile_param_48,0.569317,0.576602,0.334862,0.760632
zeta-quantile_param_49,0.580135,0.591570,0.164919,0.935395
zeta-quantile_param_50,0.381631,0.377587,0.132281,0.645878
zeta-quantile_param_51,0.277550,0.273142,0.082240,0.500031
zeta-quantile_param_52,0.700574,0.707381,0.477826,0.885056
zeta-quantile_param_53,0.542083,0.555022,0.178608,0.840661
zeta-quantile_param_54,0.751081,0.761076,0.499821,0.931432
zeta-quantile_param_55,0.816579,0.834430,0.554378,0.976780
zeta-quantile_param_56,0.814905,0.847616,0.479603,0.985742
zeta-quantile_param_57,0.459198,0.452911,0.040072,0.913488
zeta-quantile_param_58,0.314720,0.296848,0.060940,0.672553
zeta-quantile_param_59,0.734850,0.759673,0.359669,0.973174
zeta-quantile_param_60,0.294762,0.276910,0.060408,0.618237
zeta-quantile_param_61,0.264128,0.208317,0.003136,0.774230
zeta-quantile_param_62,0.307985,0.302128,0.060888,0.591439
zeta-quantile_param_63,0.270680,0.250286,0.033670,0.605058
zeta-quantile_param_64,0.572350,0.579625,0.249125,0.866570
zeta-quantile_param_65,0.031659,0.009981,0.000079,0.201357
zeta-quantile_param_66,0.308250,0.290313,0.049174,0.672694
zeta-quantile_param_67,0.123645,0.089541,0.004556,0.416355
zeta-quantile_param_68,0.180904,0.127597,0.003046,0.630931
zeta-quantile_param_69,0.379488,0.351924,0.037311,0.860330
zeta-quantile_param_70,0.340583,0.336881,0.101335,0.595622
zeta-quantile_param_71,0.560538,0.573506,0.119190,0.933729
zeta-quantile_param_72,0.351748,0.342347,0.082262,0.672199
zeta-quantile_param_73,0.078875,0.057121,0.003757,0.270251
zeta-quantile_param_74,0.173239,0.129790,0.003000,0.552531
zeta-quantile_param_75,0.270098,0.252723,0.052144,0.587998
zeta-quantile_param_76,0.557601,0.571831,0.258617,0.795442
