Year	Indiv	Category	Genotyped
1990	12	founder	Y
1990	13	founder	Y
1990	14	founder	Y
1990	15	founder	Y
1990	16	founder	Y
1990	17	founder	Y
1990	19	founder	Y
1990	20	founder	Y
1990	24	founder	Y
1990	25	founder	Y
1990	26	founder	N
1990	27	founder	Y
1990	34	founder	Y
1990	35	founder	N
1990	37	founder	Y
1990	42	founder	Y
1990	43	founder	Y
1990	44	founder	Y
1990	45	founder	Y
1990	46	founder	Y
1990	47	founder	Y
1990	48	founder	Y
1990	49	founder	Y
1990	50	founder	Y
1990	55	founder	N
1990	62	founder	N
1990	63	founder	Y
1990	64	founder	N
1990	65	founder	Y
1990	66	founder	N
1990	142	founder	Y
1990	143	founder	Y
1990	144	founder	Y
1990	145	founder	Y
1990	148	founder	Y
1990	171	founder	Y
1990	172	founder	Y
1990	175	founder	Y
1990	176	founder	Y
1990	195	founder	Y
1990	201	founder	Y
1990	202	founder	Y
1990	203	founder	Y
1990	204	founder	Y
1990	205	founder	Y
1990	207	founder	Y
1990	208	founder	Y
1990	209	founder	Y
1990	210	founder	Y
1990	211	founder	Y
1990	212	founder	Y
1990	213	founder	N
1990	219	founder	Y
1990	220	founder	Y
1990	221	founder	N
1990	222	founder	Y
1990	243	founder	Y
1990	244	founder	N
1990	245	founder	Y
1990	246	founder	N
1990	247	founder	Y
1990	254	founder	Y
1990	255	founder	Y
1990	256	founder	Y
1990	257	founder	Y
1990	266	founder	Y
1990	267	founder	Y
1990	268	founder	Y
1990	272	founder	Y
1990	1504	founder	Y
1990	1565	founder	Y
1990	1566	founder	Y
1990	1567	founder	Y
1990	1593	founder	N
1990	1594	founder	N
1990	1597	founder	N
1990	1599	founder	Y
1990	1600	founder	Y
1990	1601	founder	Y
1990	1606	founder	Y
1990	1608	founder	Y
1990	1609	founder	Y
1990	1610	founder	Y
1990	1611	founder	Y
1990	1612	founder	N
1990	1613	founder	N
1990	1614	founder	Y
1990	1615	founder	Y
1990	1616	founder	Y
1990	1617	founder	Y
1990	1618	founder	Y
1990	1619	founder	Y
1990	1620	founder	Y
1990	1621	founder	Y
1990	1622	founder	N
1990	1624	founder	N
1990	1625	founder	N
1990	1896	founder	Y
1990	1897	founder	Y
1990	1899	founder	Y
1990	1902	founder	Y
1990	1903	founder	Y
1990	1904	founder	Y
1990	1905	founder	Y
1990	1916	founder	Y
1990	1924	founder	N
1990	1925	founder	Y
