id,dam,sire
id76,NA,NA
id689,NA,NA
id584,NA,NA
id211,NA,NA
id1,NA,NA
id742,NA,NA
id340,NA,NA
id676,NA,NA
id1057,NA,NA
id1010,NA,NA
id181,NA,NA
id1073,NA,NA
id358,NA,NA
id570,NA,NA
id129,NA,NA
id359,NA,NA
id545,NA,NA
id684,NA,NA
id16,NA,NA
id951,NA,NA
id362,NA,NA
id143,NA,NA
id1128,NA,NA
id612,NA,NA
id774,NA,NA
id746,NA,NA
id908,NA,NA
id887,NA,NA
id155,NA,NA
id414,NA,NA
id195,NA,NA
id635,NA,NA
id975,NA,NA
id89,NA,NA
id695,NA,NA
id988,NA,NA
id375,NA,NA
id755,NA,NA
id279,NA,NA
id297,NA,NA
id134,NA,NA
id856,NA,NA
id284,NA,NA
id314,NA,NA
id424,NA,NA
id814,NA,NA
id845,NA,NA
id965,NA,NA
id1002,NA,NA
id1055,NA,NA
id901,NA,NA
id893,NA,NA
id801,NA,NA
id457,NA,NA
id674,NA,NA
id247,NA,NA
id1026,NA,NA
id959,NA,NA
id391,NA,NA
id20,NA,NA
id141,NA,NA
id503,NA,NA
id831,NA,NA
id654,NA,NA
id880,NA,NA
id174,NA,NA
id824,NA,NA
id128,NA,NA
id997,NA,NA
id40,NA,NA
id459,NA,NA
id547,NA,NA
id51,NA,NA
id978,NA,NA
id1109,NA,NA
id629,NA,NA
id7,NA,NA
id950,NA,NA
id86,NA,NA
id881,NA,NA
id237,NA,NA
id327,NA,NA
id288,NA,NA
id41,NA,NA
id542,NA,NA
id524,NA,NA
id837,NA,NA
id974,NA,NA
id1069,NA,NA
id429,NA,NA
id738,NA,NA
id863,NA,NA
id394,NA,NA
id1076,NA,NA
id549,NA,NA
id541,NA,NA
id377,NA,NA
id353,NA,NA
id847,NA,NA
id137,NA,NA
id888,NA,NA
id828,NA,NA
id1108,NA,NA
id82,NA,NA
id246,NA,NA
id112,NA,NA
id285,NA,NA
id406,NA,NA
id1013,NA,NA
id47,NA,NA
id493,NA,NA
id365,NA,NA
id915,NA,NA
id968,NA,NA
id644,NA,NA
id576,NA,NA
id320,NA,NA
id892,NA,NA
id636,NA,NA
id825,NA,NA
id661,NA,NA
id1008,NA,NA
id850,NA,NA
id158,NA,NA
id750,NA,NA
id9,NA,NA
id230,NA,NA
id3,NA,NA
id998,NA,NA
