stID	tsID	popID	filename	description	citation	URL	total_N	steps	interval_MY	trait_type	log_transformed	taxa	species	microfossil	sampling	age_model	sediment	environment	period_start	period_end	epoch_start	epoch_end	age_start	age_end	source	publication_year	signature	lat	lon	set
131	1400	131_ay	Meiri_Vulpes_vulpes_Cordylo_male_Isreal	Here we examine a diverse set of carnivore populations in search of patterns in body size change that could reflect global warming (in accord with Bergmann's rule).We used > 4400 specimens representing 22 carnivore species in 52 populations collected over the last few decades to examine whether size changed with collection date when geography and sex are accounted for.	Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.	https://doi.org/10.1111/j.1466-8238.2008.00437.x	26	22	5.5e-05	linear	no	mammal	Meles meles	no	biological fieldwork	present day_study	none	terrestrial	Present	Present	Present	Present	Present	Present	NA	2009	Sunniva	NA	NA	NA
131	1399	131_au	Meiri_Vulpes_lagopus_male	Here we examine a diverse set of carnivore populations in search of patterns in body size change that could reflect global warming (in accord with Bergmann's rule).We used > 4400 specimens representing 22 carnivore species in 52 populations collected over the last few decades to examine whether size changed with collection date when geography and sex are accounted for.	Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.	https://doi.org/10.1111/j.1466-8238.2008.00437.x	44	13	9.6e-05	linear	no	mammal	Vulpes lagopus	no	biological fieldwork	present day_study	none	terrestrial	Present	Present	Present	Present	Present	Present	NA	2009	Sunniva	NA	NA	NA
131	1398	131_as	Meiri_Ursus_arctos_Cordylo_male_Alaska	Here we examine a diverse set of carnivore populations in search of patterns in body size change that could reflect global warming (in accord with Bergmann's rule).We used > 4400 specimens representing 22 carnivore species in 52 populations collected over the last few decades to examine whether size changed with collection date when geography and sex are accounted for.	Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.	https://doi.org/10.1111/j.1466-8238.2008.00437.x	42	30	7.7e-05	linear	no	mammal	Vulpes vulpes	no	biological fieldwork	present day_study	none	terrestrial	Present	Present	Present	Present	Present	Present	NA	2009	Sunniva	NA	NA	NA
131	1397	131_aq	Meiri_Urocyon_cinereoargenteus_male	Here we examine a diverse set of carnivore populations in search of patterns in body size change that could reflect global warming (in accord with Bergmann's rule).We used > 4400 specimens representing 22 carnivore species in 52 populations collected over the last few decades to examine whether size changed with collection date when geography and sex are accounted for.	Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.	https://doi.org/10.1111/j.1466-8238.2008.00437.x	44	18	9.6e-05	linear	no	mammal	Urocyon cinereoargenteus	no	biological fieldwork	present day_study	none	terrestrial	Present	Present	Present	Present	Present	Present	NA	2009	Sunniva	NA	NA	NA
131	1396	131_ao	Meiri_Procyon_lotor_male	Here we examine a diverse set of carnivore populations in search of patterns in body size change that could reflect global warming (in accord with Bergmann's rule).We used > 4400 specimens representing 22 carnivore species in 52 populations collected over the last few decades to examine whether size changed with collection date when geography and sex are accounted for.	Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.	https://doi.org/10.1111/j.1466-8238.2008.00437.x	19	11	8.4e-05	linear	no	mammal	Procyon lotor	no	biological fieldwork	present day_study	none	terrestrial	Present	Present	Present	Present	Present	Present	NA	2009	Sunniva	NA	NA	NA
131	1395	131_an	Meiri_Mustele_vison_Condylo_male_Vancouver	Here we examine a diverse set of carnivore populations in search of patterns in body size change that could reflect global warming (in accord with Bergmann's rule).We used > 4400 specimens representing 22 carnivore species in 52 populations collected over the last few decades to examine whether size changed with collection date when geography and sex are accounted for.	Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.	https://doi.org/10.1111/j.1466-8238.2008.00437.x	25	11	7.9e-05	linear	no	mammal	Mustela nivalis	no	biological fieldwork	present day_study	none	terrestrial	Present	Present	Present	Present	Present	Present	NA	2009	Sunniva	NA	NA	NA
131	1394	131_am	Meiri_Mustele_vison_Condylo_female_Ontario	Here we examine a diverse set of carnivore populations in search of patterns in body size change that could reflect global warming (in accord with Bergmann's rule).We used > 4400 specimens representing 22 carnivore species in 52 populations collected over the last few decades to examine whether size changed with collection date when geography and sex are accounted for.	Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.	https://doi.org/10.1111/j.1466-8238.2008.00437.x	26	5	2.2e-05	linear	no	mammal	Mustela frenata	no	biological fieldwork	present day_study	none	terrestrial	Present	Present	Present	Present	Present	Present	NA	2009	Sunniva	NA	NA	NA
131	1393	131_ah	Meiri_Mustela_nivalis_Condylo_female_Benelux	Here we examine a diverse set of carnivore populations in search of patterns in body size change that could reflect global warming (in accord with Bergmann's rule).We used > 4400 specimens representing 22 carnivore species in 52 populations collected over the last few decades to examine whether size changed with collection date when geography and sex are accounted for.	Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.	https://doi.org/10.1111/j.1466-8238.2008.00437.x	91	22	4.4e-05	linear	no	mammal	Mustela erminea	no	biological fieldwork	present day_study	none	terrestrial	Present	Present	Present	Present	Present	Present	NA	2009	Sunniva	NA	NA	NA
131	1392	131_ad	Meiri_Mustela_frenata_Condylo_male_NewEngland	Here we examine a diverse set of carnivore populations in search of patterns in body size change that could reflect global warming (in accord with Bergmann's rule).We used > 4400 specimens representing 22 carnivore species in 52 populations collected over the last few decades to examine whether size changed with collection date when geography and sex are accounted for.	Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.	https://doi.org/10.1111/j.1466-8238.2008.00437.x	90	31	0.000115	linear	no	mammal	Mustela erminea	no	biological fieldwork	present day_study	none	terrestrial	Present	Present	Present	Present	Present	Present	NA	2009	Sunniva	NA	NA	NA
131	1391	131_af	Meiri_Mustela_frenata_Condylo_female_Washington	Here we examine a diverse set of carnivore populations in search of patterns in body size change that could reflect global warming (in accord with Bergmann's rule).We used > 4400 specimens representing 22 carnivore species in 52 populations collected over the last few decades to examine whether size changed with collection date when geography and sex are accounted for.	Meiri, S., Guy, D., Dayan, T., & Simberloff, D. (2009). Global change and carnivore body size: data are stasis. Global Ecology and Biogeography, 18(2), 240-247.	https://doi.org/10.1111/j.1466-8238.2008.00437.x	23	13	5.1e-05	linear	no	mammal	Mustela erminea	no	biological fieldwork	present day_study	none	terrestrial	Present	Present	Present	Present	Present	Present	NA	2009	Sunniva	NA	NA	NA
