pop,gene,pos,generation,freq
m1,mokC,16972,0,0.006
m1,mokC,16972,500,0.032
m1,mokC,16972,1000,0.027
m1,mokC,16972,1500,0.046
m1,mokC,16972,2000,0.012
m1,mokC,16972,2500,0.0
m1,mokC,16972,3000,0.008
m1,mokC,16972,3500,0.0
m1,mokC,16972,4000,0.041
m1,mokC,16972,4500,0.005
m1,mokC,16972,5000,0.038
m1,mokC,16972,5500,0.029
m1,mokC,16972,6000,0.065
m1,mokC,16972,6500,0.027
m1,mokC,16972,7000,0.06
m1,mokC,16972,7500,0.08
m1,mokC,16972,8000,0.015
m1,mokC,16972,8500,0.064
m1,mokC,16972,9000,0.098
m1,mokC,16972,9500,0.109
m1,mokC,16972,10000,0.211
m1,mokC,16972,10500,0.07
m1,mokC,16972,11000,0.143
m1,mokC,16972,11500,0.099
m1,mokC,16972,12000,0.159
m1,mokC,16972,12500,0.042
m1,mokC,16972,13000,0.488
m1,mokC,16972,13500,0.859
m1,mokC,16972,14000,0.905
m1,mokC,16972,14500,0.966
m1,mokC,16972,15000,0.983
m1,mokC,16972,16000,0.985
m1,mokC,16972,16500,1.0
m1,mokC,16972,17000,0.973
m1,mokC,16972,17500,1.0
m1,mokC,16972,18000,1.0
m1,mokC,16972,18500,1.0
m1,mokC,16972,19000,1.0
m1,mokC,16972,19500,1.0
m1,mokC,16972,20000,1.0
m1,mokC,16972,20500,1.0
m1,mokC,16972,21000,1.0
m1,mokC,16972,21500,1.0
m1,mokC,16972,22000,1.0
m1,mokC,16972,22500,0.989
m1,mokC,16972,23000,1.0
m1,mokC,16972,23500,1.0
m1,mokC,16972,24000,1.0
m1,mokC,16972,24500,1.0
m1,mokC,16972,25000,1.0
m1,mokC,16972,25500,1.0
m1,mokC,16972,26000,1.0
m1,mokC,16972,26500,1.0
m1,mokC,16972,27000,1.0
m1,mokC,16972,27500,1.0
m1,mokC,16972,28000,1.0
m1,mokC,16972,28500,1.0
m1,mokC,16972,29000,1.0
m1,mokC,16972,29500,1.0
m1,mokC,16972,30000,1.0
m1,mokC,16972,30500,1.0
m1,mokC,16972,31000,1.0
m1,mokC,16972,31500,1.0
m1,mokC,16972,32000,0.995
m1,mokC,16972,32500,1.0
m1,mokC,16972,33000,1.0
m1,mokC,16972,33500,1.0
m1,mokC,16972,34000,1.0
m1,mokC,16972,34500,1.0
m1,mokC,16972,35000,1.0
