locus,house_p,house_n,spanish_p,spanish_n,italy_p,italy_n,fst_house_spanish
0,1.0,42,0.0204,49,0.9632,353,0.9571
1,1.0,85,0.0,52,0.9218,403,1.0
2,0.9471,85,0.0,49,0.8846,403,0.8674
3,0.9882,85,0.0,52,0.8156,423,0.9696
4,0.9176,85,0.0,46,0.7306,373,0.7964
5,0.8824,85,0.0,50,0.5121,373,0.7353
6,1.0,85,0.0,52,0.3065,403,1.0
7,1.0,85,0.0,52,0.5661,333,1.0
8,1.0,85,0.0,52,0.5682,403,1.0
9,0.8353,85,0.0,52,0.4504,403,0.6581
10,1.0,85,0.0,52,0.5831,403,1.0
11,0.9,85,0.0,52,0.4242,363,0.7736
12,1.0,85,0.0,52,0.2939,393,1.0
13,1.0,85,0.0,49,0.9128,413,1.0
14,1.0,85,0.0,50,0.8804,393,1.0
15,1.0,85,0.0,52,0.8886,413,1.0
16,1.0,85,0.0,49,0.9059,393,1.0
17,0.9647,85,0.0,8,0.7143,273,0.7016
18,0.8095,84,0.0481,52,0.4713,383,0.5484
19,1.0,85,0.0,52,0.7766,423,1.0
20,0.8882,85,0.4231,52,0.5921,353,0.2483
21,0.8765,85,0.0,8,0.441,373,0.379
22,0.5118,85,0.0577,52,0.2978,403,0.2166
23,0.4824,85,0.0096,52,0.3511,393,0.2492
24,0.8176,85,0.1635,52,0.7271,273,0.411
25,0.3824,85,0.0,52,0.2324,383,0.1903
26,0.9412,85,0.0,6,0.485,333,0.5134
27,0.9882,85,0.0,52,0.5186,403,0.9696
28,1.0,85,0.0,52,0.5347,403,1.0
29,0.8824,85,0.0,52,0.4075,373,0.74
30,1.0,85,0.0,52,0.6139,373,1.0
31,0.7471,85,0.2596,52,0.5885,373,0.2273
32,0.7588,85,0.0385,52,0.3178,343,0.4892
33,0.9345,84,0.0192,52,0.572,403,0.8147
34,0.8588,85,0.0,52,0.4791,383,0.6978
35,0.6548,84,0.0,52,0.2774,393,0.4203
36,0.9647,85,0.15,50,0.4564,413,0.6927
37,0.7321,84,0.0,52,0.4929,353,0.511
38,0.5471,85,0.0577,52,0.3226,403,0.2444
39,0.9882,85,0.1538,52,0.5556,333,0.7433
40,0.8765,85,0.1154,52,0.583,253,0.5629
41,1.0,85,0.0,49,0.641,383,1.0
42,0.8412,85,0.0,52,0.3308,393,0.6678
43,0.4294,85,0.0,52,0.1609,373,0.2222
44,0.5,85,0.0106,47,0.3003,353,0.25
45,0.8235,85,0.3846,52,0.7506,413,0.2013
46,0.4294,85,0.0096,52,0.1736,383,0.2105
47,0.9588,85,0.0096,52,0.708,363,0.883
48,0.9353,85,0.0096,52,0.6309,363,0.8306
49,0.3824,85,0.0385,52,0.2219,383,0.1478
50,0.6471,85,0.0,51,0.465,343,0.4074
51,0.9118,85,0.0319,47,0.7112,393,0.7386
52,0.8529,85,0.0096,52,0.1674,433,0.6728
53,0.4647,85,0.0978,46,0.3901,373,0.1375
54,0.7118,85,0.0192,52,0.539,333,0.4565
55,0.6726,84,0.0192,52,0.4443,323,0.4131
56,0.3294,85,0.0,52,0.3499,353,0.1572
57,0.875,84,0.6442,52,0.8003,343,0.075
58,0.9176,85,0.3269,52,0.5992,393,0.3866
59,0.3631,84,0.0,52,0.1785,353,0.179
60,0.6941,85,0.0577,52,0.4396,323,0.385
61,0.4059,85,0.1731,52,0.1996,253,0.0589
62,0.5824,85,0.0,8,0.2595,393,0.1071
63,0.5471,85,0.0,8,0.2988,343,0.0941
64,0.8412,85,0.0882,51,0.6619,383,0.5389
65,0.369,84,0.0865,52,0.1433,363,0.0977
66,0.4059,85,0.0,52,0.1702,373,0.2059
67,0.7952,83,0.2981,52,0.747,253,0.2446
68,0.4451,82,0.2083,48,0.4489,313,0.0568
69,0.6059,85,0.1442,52,0.4595,383,0.2047
70,0.7143,84,0.0,52,0.3065,403,0.4887
71,0.7706,85,0.5096,52,0.6266,403,0.0727
72,0.6964,84,0.0577,52,0.4377,353,0.389
73,0.5118,85,0.0192,52,0.2715,383,0.2605
74,0.8036,84,0.5192,52,0.6381,373,0.09
75,0.5882,85,0.0,52,0.2608,393,0.3516
76,0.7588,85,0.1154,52,0.3215,353,0.3903
